Player,Team,Score_A_finale
Lautaro Martinez,Inter,1746.5497263157893
Albert Gudmundsson,Genoa,1609.8293359649126
Matias Soule,Frosinone,1464.0633982456143
Paulo Dybala,Roma,1431.2222864035086
Khvicha Kvaratskhelia,Napoli,1425.8611359649117
Olivier Giroud,AC Milan,1395.1809122807015
Dusan Vlahovic,Juventus,1352.5700442982456
Rafael Leao,AC Milan,1351.2325749999998
Marcus Thuram,Inter,1337.8231521929824
Christian Pulisic,AC Milan,1334.1070175438595
Victor Osimhen,Napoli,1282.2187456140357
Charles De Ketelaere,Atalanta,1281.2892815789473
Ademola Lookman,Atalanta,1268.1257381578944
Matteo Politano,Napoli,1258.1214754385965
Duvan Zapata,Torino,1242.0336885964912
Joshua Zirkzee,Bologna,1224.7754236842104
Romelu Lukaku,Roma,1206.818603508772
Gianluca Scamacca,Atalanta,1202.428579824561
Nicolas Gonzalez,Fiorentina,1177.4001706140352
Federico Chiesa,Juventus,1139.30126491228
Riccardo Orsolini,Bologna,1105.958421052632
Armand Lauriente,Sassuolo,1006.3625833333334
Andrea Pinamonti,Sassuolo,997.6091578947368
Nikola Krstovic,Lecce,953.5164517543859
Milan Djuric,Verona,943.4787666666668
Lorenzo Lucca,Udinese,938.1507456140351
Giacomo Raspadori,Napoli,937.6571368421052
Walid Cheddira,Frosinone,933.9491052631578
Alexis Saelemaekers,Bologna,914.6306912280701
Aleksey Miranchuk,Atalanta,911.022960526316
Florian Thauvin,Udinese,899.6071986842103
Ciro Immobile,Lazio,888.3927210526315
Cyril Ngonge,Napoli,871.4719815789474
Lucas Beltran,Fiorentina,850.3081710526315
Nikola Vlasic,Torino,838.6659473684211
Dany Mota,Monza,819.4775657894735
Antonio Sanabria,Torino,816.3523013157893
Luka Jovic,AC Milan,813.2189789473683
Andrea Belotti,Fiorentina,789.0410543859651
Mateo Retegui,Genoa,786.6778486842107
M'Bala Nzola,Fiorentina,781.8149013157896
Noah Okafor,AC Milan,779.6309057017544
Marko Arnautovic,Inter,761.2586583333334
Alexis Sanchez,Inter,749.676674122807
Zito Luvumbo,Cagliari,736.557877631579
Stephan El Shaarawy,Roma,730.2863657894737
Lameck Banda,Lecce,725.5480359649123
Arkadiusz Milik,Juventus,716.7907877192982
Pontus Almqvist,Lecce,714.5956184210527
Valentin Castellanos,Lazio,708.3219929824562
Nicolo Cambiaghi,Empoli,693.8580078947369
Federico Bonazzoli,Verona,691.9022289473683
Darko Lazovic,Verona,685.8483149122808
Caleb Ekuban,Genoa,683.3074377192984
Riccardo Sottil,Fiorentina,682.7536140350877
Dan Ndoye,Bologna,681.2466710526314
Gianluca Lapadula,Cagliari,679.8707078947368
Roberto Piccoli,Lecce,652.1790947368421
Matteo Cancellieri,Empoli,650.7744350877193
Kenan Yildiz,Juventus,649.1787171052631
Francesco Caputo,Empoli,645.5190289473685
Lorenzo Colombo,Monza,637.2661649122806
Pedro Rodriguez,Lazio,626.05785
Samuel Chukwueze,AC Milan,620.0688456140351
Tommaso Baldanzi,Roma,618.0475280701753
Gustav Isaksen,Lazio,607.3622065789474
Nicola Sansone,Lecce,605.1095657894738
Cristian Volpato,Sassuolo,587.6330701754384
Patrick Ciurria,Monza,580.2903394736841
Samuel Iling-Junior,Juventus,577.1657017543861
Kaio Jorge,Frosinone,577.1582039473685
Eldor Shomurodov,Cagliari,572.283138157895
Christian Kouame,Fiorentina,564.9859087719298
Sardar Azmoun,Roma,522.1036692982454
Alessio Zerbin,Monza,501.14774561403505
Isaac Success,Udinese,498.4834385964914
Leonardo Pavoletti,Cagliari,488.1140350877193
Domenico Berardi,Sassuolo,479.4849999999999
Chukwubuikem Ikwuemesi,Salernitana,478.10577543859637
Gregoire Defrel,Sassuolo,472.7518127192982
Emmanuel Quartsin Gyasi,Empoli,463.17557763157896
Giovanni Simeone,Napoli,459.5776254385964
Jackson Tchatchoua,Verona,431.03259868421054
Demba Seck,Frosinone,423.6006096491227
Pietro Pellegri,Torino,416.23442982456146
Marvin Cuni,Frosinone,410.1208631578948
Moise Kean,Juventus,398.83419736842103
Samuele Mulattieri,Sassuolo,377.92909342105264
Tijjani Noslin,Verona,310.675
M'Baye Niang,Empoli,284.07
Boulaye Dia,Salernitana,203.32
Daniel Maldini,Empoli,194.99
Luis Muriel,Atalanta,164.22
Simy,Salernitana,141.27
Andrea Petagna,Cagliari,131.155
Thomas Henry,Verona,120.7
Karol Swiderski,Verona,113.55999999999999
Junior Messias,Genoa,105.74000000000001
El Bilal Toure,Atalanta,105.315
Nemanja Radonjic,Torino,105.06000000000002
Jovane Cabral,Salernitana,83.97999999999999
Jens Odgaard,Bologna,83.46999999999998
Emmanuel Ekong,Empoli,79.89999999999999
Vitor Oliveira,Genoa,78.71000000000001
Jaime Baez,Frosinone,70.63499999999999
Samuel Castillejo,Sassuolo,65.28
Josip Brekalo,Fiorentina,58.14
Mirko Maric,Monza,57.46000000000001
Gianluca Caprari,Monza,56.27
Rares Burnete,Lecce,54.06
Tammy Abraham,Roma,52.955
Santiago Castro,Bologna,50.66
Shon Weissman,Salernitana,46.92
Beto,Udinese,46.07
Keinan Davis,Udinese,43.52
Stiven Shpendi,Empoli,35.870000000000005
Zanos Savva,Torino,34.85
Santiago Pierotti,Lecce,34.0
Jesper Karlsson,Bologna,31.96
Chaka Traore,AC Milan,30.599999999999998
Joao Costa,Roma,30.089999999999996
Federico Di Francesco,Lecce,29.75
Kingstone Mutandwa,Cagliari,29.75
George Puscas,Genoa,25.16
Emil Konradsen Ceide,Sassuolo,22.95
Stefan Mitrovic,Verona,21.25
Jordi Mboula,Verona,20.825000000000003
David Okereke,Torino,20.060000000000002
Andres Sfait,Salernitana,18.02
Giuseppe Caso,Frosinone,17.935000000000002
Brenner Da Silva,Udinese,14.45
Mattia Destro,Empoli,13.77
Sydney Van Hooijdonk,Bologna,13.260000000000002
Fares Ghedjemis,Frosinone,11.559999999999999
Yann Karamoh,Torino,9.01
Trivante Stewart,Salernitana,7.31
Juan Manuel Cruz,Verona,6.63
David Ankeye,Genoa,3.74
Seydou Fini,Genoa,0.85
Simone Pafundi,Udinese,0.51
Yayah Kallon,Verona,0.0
Luigi Canotto,Frosinone,0.0
Diego Valencia,Salernitana,0.0
Ola Solbakken,Roma,0.0
Diego Gonzalez,Lazio,0.0
Vivaldo Semedo,Udinese,0.0
Agustin Alvarez,Sassuolo,0.0
Jeppe Corfitzen,Lecce,0.0
Till Winkelman,Lecce,0.0
Flavio Russo,Sassuolo,0.0
Giacomo Corona,Empoli,0.0
