Player,Team,Score_C_finale
Hakan Calhanoglu,Inter,1060.1473859649122
Teun Koopmeiners,Atalanta,919.2841206140349
Luis Alberto,Lazio,872.5462697368421
Antonio Candreva,Salernitana,824.5547039473684
Matteo Pessina,Monza,810.9132631578948
Andrea Colpani,Monza,806.170407894737
Arthur,Fiorentina,784.2859846491228
Lazar Samardzic,Udinese,783.7894736842106
Tijjani Reijnders,AC Milan,780.2236622807017
Mario Pasalic,Atalanta,779.4904912280701
Giacomo Bonaventura,Fiorentina,777.8970285087719
Nicolo Barella,Inter,772.4498245614034
Ivan Ilic,Torino,768.6750021929823
Henrikh Mkhitaryan,Inter,754.4652346491229
Piotr Zielinski,Napoli,751.9737500000001
Felipe Anderson,Lazio,750.5919473684212
Lewis Ferguson,Bologna,741.0099078947369
Lorenzo Pellegrini,Roma,718.3570789473684
Adrien Rabiot,Juventus,689.4350219298244
Leandro Paredes,Roma,686.945947368421
Andre-Frank Zambo Anguissa,Napoli,681.9348684210526
Yacine Adli,AC Milan,678.5213859649123
Bryan Cristante,Roma,666.7855087719299
Ondrej Duda,Verona,656.1522236842104
Alfred Duncan,Fiorentina,646.7271907894736
Remi Oudin,Lecce,646.0854342105264
Weston Mckennie,Juventus,644.138938596491
Stanislav Lobotka,Napoli,643.9430328947368
Mattia Zaccagni,Lazio,641.1855131578948
Ederson,Atalanta,638.79774122807
Manuel Locatelli,Juventus,630.2870087719298
Kristian Thorstvedt,Sassuolo,621.7695833333332
Ruben Loftus-Cheek,AC Milan,620.8629649122806
Matheus Henrique,Sassuolo,615.9789407894738
Daichi Kamada,Lazio,612.3648201754385
Remo Freuler,Bologna,610.4468245614036
Sandi Lovric,Udinese,610.0189122807018
Roberto Gagliardini,Monza,602.1162192982456
Ismael Bennacer,AC Milan,599.0909780701753
Filip Kostic,Juventus,586.465543859649
Matteo Guendouzi,Lazio,585.6282894736839
Nicolas Viola,Cagliari,581.757451754386
Marco Brescianini,Frosinone,576.5517872807018
Samuele Ricci,Torino,574.6863157894736
Roberto Pereyra,Udinese,574.1861666666667
Kristjan Asllani,Inter,570.0611842105263
Marten De Roon,Atalanta,570.0562127192983
