Player,Team,Position,Possessions Won in Final 3rd per 90,Possessions Won Midfield per 90,Tackles per 90,Tackle Success Rate (%),Chances Created,Chances Created per 90,Accurate Long Balls per 90,Successful Long Balls (%),Minutes,Matches,Big Chances Missed,Clearances per 90,Total Clearances,Expected Goals (xG),Actual Goals,Fouls Committed per 90,Interceptions per 90,Total Interceptions,Penalties Conceded,Clean Sheets,Goals Conceded,Expected Assists (xA),Actual Assists,Expected Goals on Target (xGOT),Goals Conceded per 90,Shots on Target per 90,Shot Accuracy (%),Penalties Won,Fouls Won per 90,Red Cards,Secondary Assists,Shots per 90,Shot Conversion Rate (%),Accurate Passes per 90,Pass Success (%),Penalties,Yellow Cards,Successful Dribbles per 90,Dribble Success Rate (%),Expected Assists per 90,Actual Assists per 90,Expected Goals per 90,Goals per 90,Blocks per 90,Total Blocks,FotMob Rating,Player of the Match Awards,Saves per 90,Total Saves,Country
aaron caricol,Genoa,D,0.2,1.1,0.7,47.6,26.0,1.7,1.4,40.7,1380.0,22.0,,0.8,13.0,0.2,0.0,1.5,0.6,9.0,,,,1.7,1.0,,,,,,,1.0,1.7,0.3,0.0,22.3,78.3,,2.0,0.4,50.0,0.11,0.1,0.01,0.0,0.3,4.0,6.65,1.0,,,ESP
abdou harroui,Frosinone,C,,,,,16.0,1.4,,,,,4.0,,,3.1,3.0,,,,,,,1.4,3.0,3.6,,,,,,,1.4,,,,,1.0,2.0,,,,,,,,,,,,,NED
adam marusic,Lazio,D,0.1,2.1,0.9,68.9,10.0,0.3,1.7,48.3,3106.0,37.0,,1.7,58.0,0.4,1.0,0.7,0.8,29.0,1.0,,,1.1,0.0,1.0,,0.1,37.5,,,1.0,,0.2,12.5,38.0,84.7,0.0,3.0,0.4,50.0,0.03,0.0,0.01,0.03,0.2,7.0,6.79,1.0,,,MNE
adam masina,Torino,D,0.1,1.5,1.0,57.1,3.0,0.2,2.4,50.9,1083.0,20.0,1.0,2.9,35.0,0.4,0.0,1.7,1.1,13.0,1.0,,,0.4,0.0,0.2,,0.2,33.3,,,,,0.5,0.0,47.3,86.6,,2.0,0.1,100.0,0.03,0.0,0.04,0.0,0.6,7.0,,,,,MAR
adam obert,Cagliari,D,,,,,6.0,0.6,,,,,,,,0.1,0.0,,,,,,,0.7,0.0,0.7,,,,,,,,,,,,,1.0,,,,,,,,,,,,,SVK
adama soumaoro,Bologna,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ademola lookman,Atalanta,A,0.9,2.4,0.7,75.0,50.0,2.4,0.4,52.9,1899.0,31.0,8.0,,,9.3,11.0,1.3,0.4,9.0,,,,4.8,7.0,7.8,,1.1,35.8,1.0,1.6,,4.8,3.2,16.4,28.9,80.2,0.0,4.0,1.8,51.3,0.23,0.3,0.44,0.52,,,7.23,4.0,,,NGA
adrien rabiot,Juventus,C,0.5,3.0,1.3,67.2,26.0,0.9,1.0,55.6,2651.0,31.0,2.0,1.0,29.0,3.5,5.0,1.5,0.8,25.0,,,,4.0,3.0,3.7,,0.6,44.7,,,,4.0,1.3,13.2,32.6,84.4,0.0,8.0,1.0,57.1,0.13,0.1,0.12,0.17,0.2,6.0,7.38,4.0,,,FRA
adrien tameze,Torino,C,0.4,2.9,0.7,45.7,19.0,0.8,1.8,53.0,2154.0,29.0,,1.0,24.0,0.7,0.0,0.8,2.0,47.0,1.0,,,1.2,2.0,,,,,,,1.0,1.2,0.4,0.0,45.6,87.9,,6.0,0.5,70.6,0.05,0.1,0.03,0.0,0.5,11.0,6.78,1.0,,,FRA
agustin alvarez,Sassuolo,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agustin martegani,Salernitana,C,,,,,6.0,0.7,,,,,,,,0.6,1.0,,,,,,,0.4,0.0,1.5,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,ARG
ahmed touba,Lecce,D,,,,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,ALG
alan matturro,Genoa,D,,,,,,,,,,,,,,0.1,0.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,URU
albert gudmundsson,Genoa,A,0.5,2.0,0.3,43.5,81.0,2.4,1.2,60.6,3022.0,35.0,6.0,0.3,11.0,9.9,14.0,0.8,0.3,11.0,,,,6.5,4.0,12.6,,0.7,42.1,1.0,1.4,,6.5,1.7,24.6,24.7,81.6,4.0,4.0,1.3,50.6,0.19,0.1,0.29,0.42,0.1,2.0,7.38,5.0,,,ISL
alberto cerri,Empoli,C,,,,,4.0,0.7,,,,,1.0,,,1.9,1.0,,,,,,,0.3,0.0,2.5,,,,,,,,,,,,0.0,2.0,,,,,,,,,,,,,ITA
