Team,Number,Player,Position
Inter,1,Yann Sommer,P
Inter,2,Denzel Dumfries,D
Inter,5,Stefano Sensi,C
Inter,6,Stefan de Vrij,D
Inter,7,Juan Cuadrado,C
Inter,8,Marko Arnautović,A
Inter,9,Marcus Thuram,A
Inter,10,Lautaro Martínez,A
Inter,11,Joaquín Correa,A
Inter,12,Raffaele Di Gennaro,P
Inter,14,Davy Klaassen,C
Inter,15,Francesco Acerbi,D
Inter,16,Davide Frattesi,C
Inter,17,Tajon Buchanan,C
Inter,20,Hakan Çalhanoğlu,C
Inter,21,Kristjan Asllani,C
Inter,22,Henrikh Mkhitaryan,C
Inter,23,Nicolò Barella,C
Inter,28,Benjamin Pavard,D
Inter,30,Carlos Augusto,D
Inter,31,Yann Aurel Bisseck,D
Inter,32,Federico Dimarco,D
Inter,36,Matteo Darmian,D
Inter,41,Ebenezer Akinsanmiro,C
Inter,42,Lucien Agoumé,C
Inter,70,Alexis Sánchez,A
Inter,77,Emil Audero,P
Inter,95,Alessandro Bastoni,D
Juventus,1,Wojciech Szczęsny,P
Juventus,2,Mattia De Sciglio,D
Juventus,3,Gleison Bremer,D
Juventus,4,Federico Gatti,D
Juventus,5,Manuel Locatelli,C
Juventus,6,Danilo,D
Juventus,7,Federico Chiesa,A
Juventus,9,Dušan Vlahović,A
Juventus,10,Paul Pogba,C
Juventus,11,Filip Kostić,C
Juventus,12,Alex Sandro,D
Juventus,14,Arkadiusz Milik,A
Juventus,15,Kenan Yildiz,A
Juventus,16,Weston McKennie,C
Juventus,17,Samuel Iling-Junior,A
Juventus,18,Moise Kean,A
Juventus,20,Fabio Miretti,C
Juventus,21,Nicolò Fagioli,C
Juventus,22,Timothy Weah,C
Juventus,23,Carlo Pinsoglio,P
Juventus,24,Daniele Rugani,D
Juventus,25,Adrien Rabiot,C
Juventus,26,Carlos Alcaraz,C
Juventus,27,Andrea Cambiaso,D
Juventus,33,Tiago Djaló,D
Juventus,36,Mattia Perin,P
Juventus,39,Nikola Sekulov,C
Juventus,41,Hans Nicolussi Caviglia,C
Juventus,45,Leonardo Cerri,A
Juventus,47,Joseph Boende,C
AC Milan,2,Davide Calabria,D
AC Milan,4,Ismaël Bennacer,C
AC Milan,7,Yacine Adli,C
AC Milan,8,Ruben Loftus-Cheek,C
AC Milan,9,Olivier Giroud,A
AC Milan,10,Rafael Leão,A
AC Milan,11,Christian Pulisic,A
AC Milan,14,Tijjani Reijnders,C
AC Milan,15,Luka Jović,A
AC Milan,16,Mike Maignan,P
AC Milan,17,Noah Okafor,A
AC Milan,18,Luka Romero,C
AC Milan,19,Theo Hernández,D
AC Milan,20,Pierre Kalulu,D
AC Milan,21,Samuel Chukwueze,A
AC Milan,23,Fikayo Tomori,D
AC Milan,24,Simon Kjær,D
AC Milan,28,Malick Thiaw,D
AC Milan,30,Mattia Caldara,D
AC Milan,32,Tommaso Pobega,C
AC Milan,33,Rade Krunić,C
AC Milan,38,Filippo Terracciano,D
AC Milan,42,Alessandro Florenzi,D
AC Milan,46,Matteo Gabbia,D
AC Milan,57,Marco Sportiello,P
AC Milan,69,Lapo Nava,P
AC Milan,70,Chaka Traorè,A
AC Milan,73,Francesco Camarda,A
AC Milan,74,Alejandro Jiménez,D
AC Milan,78,Andrea Bartoccioni,P
AC Milan,80,Yunus Musah,C
AC Milan,81,Victor Eletu,C
AC Milan,82,Jan-Carlo Simić,D
AC Milan,83,Antonio Mirante,P
AC Milan,84,Clinton Nsiala-Makengo,D
AC Milan,86,Kevin Zeroli,C
AC Milan,92,Noah Raveyre,P
AC Milan,96,Lorenzo Torriani,P
AC Milan,95,Davide Bartesaghi,D
Atalanta,1,Juan Musso,P
Atalanta,2,Rafael Tolói,D
Atalanta,3,Emil Holm,D
Atalanta,4,Isak Hien,D
Atalanta,6,José Luis Palomino,D
Atalanta,7,Teun Koopmeiners,C
Atalanta,8,Mario Pašalić,C
Atalanta,9,Luis Muriel,A
Atalanta,10,El Bilal Touré,A
Atalanta,11,Ademola Lookman,A
Atalanta,13,Éderson,C
Atalanta,15,Marten de Roon,C
Atalanta,17,Charles De Ketelaere,A
Atalanta,19,Berat Djimsiti,D
Atalanta,20,Mitchel Bakker,D
Atalanta,22,Matteo Ruggeri,D
Atalanta,23,Sead Kolašinac,D
Atalanta,25,Michel Ndary Adopo,C
Atalanta,29,Marco Carnesecchi,P
Atalanta,31,Francesco Rossi,P
Atalanta,33,Hans Hateboer,D
Atalanta,42,Giorgio Scalvini,D
Atalanta,43,Giovanni Bonfanti,D
Atalanta,59,Aleksey Miranchuk,A
Atalanta,77,Davide Zappacosta,C
Atalanta,90,Gianluca Scamacca,A
Bologna,3,Stefan Posch,D
Bologna,4,Mihajlo Ilić,D
Bologna,5,Adama Soumaoro,D
Bologna,6,Nikola Moro,C
Bologna,7,Riccardo Orsolini,A
Bologna,8,Nicolás Domínguez,C
Bologna,8,Remo Freuler,C
Bologna,9,Joshua Zirkzee,A
Bologna,10,Jesper Karlsson,A
Bologna,11,Dan Ndoye,A
Bologna,15,Victor Kristiansen,D
Bologna,16,Tommaso Corazza,D
Bologna,17,Oussama El Azzouzi,C
Bologna,18,Santiago Castro,A
Bologna,19,Lewis Ferguson,C
Bologna,20,Michel Aebischer,C
Bologna,21,Jens Odgaard,A
Bologna,22,Charalambos Lykogiannīs,D
Bologna,23,Nicola Bagnolini,P
Bologna,25,Niklas Pyyhtiä,C
Bologna,26,Jhon Lucumí,D
Bologna,28,Lukasz Skorupski,P
Bologna,29,Lorenzo De Silvestri,D
Bologna,31,Sam Beukema,D
Bologna,33,Riccardo Calafiori,D
Bologna,34,Federico Ravaglia,P
Bologna,56,Alexis Saelemaekers,A
Bologna,77,Sydney van Hooijdonk,A
Bologna,80,Giovanni Fabbian,C
Bologna,82,Kacper Urbański,C
Roma,1,Rui Patrício,P
Roma,2,Rick Karsdorp,D
Roma,3,Dean Huijsen,D
Roma,4,Bryan Cristante,C
Roma,5,Evan N'Dicka,D
Roma,6,Chris Smalling,D
Roma,7,Lorenzo Pellegrini,C
Roma,9,Tammy Abraham,A
Roma,14,Diego Llorente,D
Roma,16,Leandro Paredes,C
Roma,17,Sardar Azmoun,A
Roma,18,Ola Solbakken,A
Roma,19,Mehmet Zeki Çelik,D
Roma,20,Renato Sanches,C
Roma,21,Paulo Dybala,A
Roma,22,Houssem Aouar,C
Roma,23,Gianluca Mancini,D
Roma,35,Tommaso Baldanzi,A
Roma,37,Leonardo Spinazzola,D
Roma,43,Rasmus Kristensen,D
Roma,52,Edoardo Bove,C
Roma,59,Nicola Zalewski,C
Roma,60,Riccardo Pagano,C
Roma,61,Niccolò Pisilli,C
Roma,63,Pietro Boer,P
Roma,64,Luigi Cherubini,A
Roma,66,Mattia Mannini,C
Roma,67,João Costa,A
Roma,68,Francesco D'Alessio,C
Roma,69,Angeliño,D
Roma,72,Lovro Golić,D
Roma,90,Romelu Lukaku,A
Roma,92,Stephan El Shaarawy,A
Roma,99,Mile Svilar,P
Lazio,3,Luca Pellegrini,D
Lazio,4,Patric,D
Lazio,5,Matías Vecino,C
Lazio,6,Daichi Kamada,C
Lazio,7,Felipe Anderson,C
Lazio,8,Mattéo Guendouzi,C
Lazio,9,Pedro Rodriguez,A
Lazio,10,Luis Alberto,C
Lazio,13,Alessio Romagnoli,D
Lazio,15,Nicolò Casale,D
Lazio,16,Dimitrije Kamenović,D
Lazio,17,Ciro Immobile,A
Lazio,18,Gustav Isaksen,A
Lazio,19,Valentín Castellanos,A
Lazio,20,Mattia Zaccagni,C
Lazio,22,Diego González,A
Lazio,23,Elseid Hysaj,D
Lazio,28,André Anderson,C
Lazio,29,Manuel Lazzari,C
Lazio,31,Marius Adamonis,P
Lazio,32,Danilo Cataldi,C
Lazio,34,Mario Gila,D
Lazio,35,Chrīstos Mandas,P
Lazio,55,Alessio Furlanetto,P
Lazio,65,Nicolò Rovella,C
Lazio,77,Adam Marušić,D
Lazio,94,Ivan Provedel,P
Fiorentina,1,Pietro Terracciano,P
Fiorentina,2,Dodô,D
Fiorentina,3,Cristiano Biraghi,D
Fiorentina,4,Nikola Milenković,D
Fiorentina,5,Giacomo Bonaventura,C
Fiorentina,6,Arthur,C
Fiorentina,7,Riccardo Sottil,A
Fiorentina,8,Maxime Lopez,C
Fiorentina,9,Lucas Beltrán,A
Fiorentina,10,Nicolás González,A
Fiorentina,11,Jonathan Ikoné,C
Fiorentina,14,Christian Dalle Mura,D
Fiorentina,16,Luca Ranieri,D
Fiorentina,17,Gaetano Castrovilli,C
Fiorentina,18,M'Bala Nzola,A
Fiorentina,19,Gino Infantino,C
Fiorentina,20,Andrea Belotti,A
Fiorentina,28,Lucas Martínez Quarta,D
Fiorentina,30,Tommaso Martinelli,P
Fiorentina,32,Alfred Duncan,C
Fiorentina,33,Michael Kayode,D
Fiorentina,37,Pietro Comuzzo,D
Fiorentina,38,Rolando Mandragora,C
Fiorentina,40,Tommaso Vannucchi,P
Fiorentina,53,Oliver Christensen,P
Fiorentina,65,Fabiano Parisi,D
Fiorentina,72,Antonín Barák,C
Fiorentina,73,Lorenzo Amatucci,C
Fiorentina,77,Josip Brekalo,A
Fiorentina,99,Christian Kouamé,A
Torino,1,Luca Gemello,P
Torino,2,Brian Bayeye,D
Torino,3,Perr Schuurs,D
Torino,4,Alessandro Buongiorno,D
Torino,5,Adam Masina,D
Torino,6,David Zima,D
Torino,6,Matteo Lovato,D
Torino,7,Yann Karamoh,A
Torino,8,Ivan Ilić,C
Torino,9,Antonio Sanabria,A
Torino,10,Nemanja Radonjić,A
Torino,11,Pietro Pellegri,A
Torino,13,Ricardo Rodríguez,D
Torino,15,Saba Sazonov,D
Torino,16,Nikola Vlašić,A
Torino,17,Wilfried Singo,D
Torino,19,Raoul Bellanova,D
Torino,20,Valentino Lazaro,D
Torino,21,David Okereke,A
Torino,25,Alessandro Dellavalle,D
Torino,26,Koffi Djidji,D
Torino,27,Mërgim Vojvoda,D
Torino,28,Samuele Ricci,C
Torino,32,Vanja Milinković-Savić,P
Torino,61,Adrien Tameze,C
Torino,66,Gvidas Gineitis,C
Torino,71,Mihai Popa,P
Torino,77,Karol Linetty,C
Torino,79,Zanos Savva,A
Torino,91,Duván Zapata,A
Torino,93,Brandon Soppy,D
Torino,99,Simone Verdi,C
Napoli,1,Alex Meret,P
Napoli,3,Natan,D
Napoli,4,Diego Demme,C
Napoli,5,Juan Jesus,D
Napoli,6,Mário Rui,D
Napoli,7,Eljif Elmas,C
Napoli,8,Hamed Traorè,C
Napoli,9,Victor Osimhen,A
Napoli,11,Hirving Lozano,A
Napoli,13,Amir Rrahmani,D
Napoli,14,Nikita Contini,P
Napoli,16,Hubert Idasiak,P
Napoli,17,Mathías Olivera,D
Napoli,18,Giovanni Simeone,A
Napoli,20,Piotr Zieliński,C
Napoli,21,Matteo Politano,A
