Team,Number,Player,Position
AC Milan,2,Davide Calabria,D
AC Milan,4,Ismaël Bennacer,C
AC Milan,7,Yacine Adli,C
AC Milan,8,Ruben Loftus-Cheek,C
AC Milan,9,Olivier Giroud,A
AC Milan,10,Rafael Leão,A
AC Milan,11,Christian Pulisic,A
AC Milan,14,Tijjani Reijnders,C
AC Milan,15,Luka Jović,A
AC Milan,16,Mike Maignan,P
AC Milan,17,Noah Okafor,A
AC Milan,18,Luka Romero,C
AC Milan,19,Theo Hernández,D
AC Milan,20,Pierre Kalulu,D
AC Milan,21,Samuel Chukwueze,A
AC Milan,23,Fikayo Tomori,D
AC Milan,24,Simon Kjær,D
AC Milan,28,Malick Thiaw,D
AC Milan,29,Lorenzo Colombo,A
AC Milan,30,Mattia Caldara,D
AC Milan,31,Marco Pellegrino,D
AC Milan,32,Tommaso Pobega,C
AC Milan,33,Rade Krunić,C
AC Milan,38,Filippo Terracciano,D
AC Milan,42,Alessandro Florenzi,D
AC Milan,46,Matteo Gabbia,D
AC Milan,57,Marco Sportiello,P
AC Milan,69,Lapo Nava,P
AC Milan,70,Chaka Traorè,A
AC Milan,73,Francesco Camarda,A
AC Milan,74,Álex Jiménez,D
AC Milan,78,Andrea Bartoccioni,P
AC Milan,80,Yunus Musah,C
AC Milan,81,Victor Eletu,C
AC Milan,82,Jan-Carlo Simić,D
AC Milan,83,Antonio Mirante,P
AC Milan,84,Clinton Nsiala-Makengo,D
AC Milan,86,Kevin Zeroli,C
AC Milan,92,Noah Raveyre,P
AC Milan,96,Lorenzo Torriani,P
AC Milan,95,Davide Bartesaghi,D
