Team,Number,Player,Position
Atalanta,1,Juan Musso,P
Atalanta,2,Rafael Tolói,D
Atalanta,3,Emil Holm,D
Atalanta,4,Isak Hien,D
Atalanta,6,José Luis Palomino,D
Atalanta,7,Teun Koopmeiners,C
Atalanta,8,Mario Pašalić,C
Atalanta,9,Luis Muriel,A
Atalanta,10,El Bilal Touré,A
Atalanta,11,Ademola Lookman,A
Atalanta,13,Éderson,C
Atalanta,15,Marten de Roon,C
Atalanta,17,Charles De Ketelaere,A
Atalanta,19,Berat Djimsiti,D
Atalanta,20,Mitchel Bakker,D
Atalanta,21,Nadir Zortea,D
Atalanta,22,Matteo Ruggeri,D
Atalanta,23,Sead Kolašinac,D
Atalanta,25,Michel Adopo,C
Atalanta,29,Marco Carnesecchi,P
Atalanta,31,Francesco Rossi,P
Atalanta,33,Hans Hateboer,D
Atalanta,42,Giorgio Scalvini,D
Atalanta,43,Giovanni Bonfanti,D
Atalanta,59,Aleksej Mirančuk,A
Atalanta,77,Davide Zappacosta,C
Atalanta,90,Gianluca Scamacca,A
Atalanta,91,Duván Zapata,A
