Team,Number,Player,Position
Bologna,3,Stefan Posch,D
Bologna,4,Mihajlo Ilić,D
Bologna,5,Adama Soumaoro,D
Bologna,6,Nikola Moro,C
Bologna,7,Riccardo Orsolini,A
Bologna,8,Nicolás Domínguez,C
Bologna,8,Remo Freuler,C
Bologna,9,Joshua Zirkzee,A
Bologna,10,Marko Arnautović,A
Bologna,10,Jesper Karlsson,A
Bologna,11,Dan Ndoye,A
Bologna,14,Kevin Bonifazi,D
Bologna,15,Victor Kristiansen,D
Bologna,16,Tommaso Corazza,D
Bologna,17,Oussama El Azzouzi,C
Bologna,18,Santiago Castro,A
Bologna,19,Lewis Ferguson,C
Bologna,20,Michel Aebischer,C
Bologna,21,Jens Odgaard,A
Bologna,22,Charalampos Lykogiannīs,D
Bologna,23,Nicola Bagnolini,P
Bologna,25,Niklas Pyyhtiä,C
Bologna,26,Jhon Lucumí,D
Bologna,28,Łukasz Skorupski,P
Bologna,29,Lorenzo De Silvestri,D
Bologna,31,Sam Beukema,D
Bologna,33,Riccardo Calafiori,D
Bologna,34,Federico Ravaglia,P
Bologna,56,Alexis Saelemaekers,A
Bologna,77,Sydney van Hooijdonk,A
Bologna,80,Giovanni Fabbian,C
Bologna,82,Kacper Urbański,C
