Team,Number,Player,Position
Cagliari,1,Boris Radunović,P
Cagliari,3,Edoardo Goldaniga,D
Cagliari,4,Alberto Dossena,D
Cagliari,5,Marco Mancosu,C
Cagliari,6,Marko Rog,C
Cagliari,8,Nahitan Nández,C
Cagliari,9,Gianluca Lapadula,A
Cagliari,10,Nicolas Viola,C
Cagliari,17,Alessandro Deiola,C
Cagliari,15,Giorgio Altare,D
Cagliari,16,Matteo Prati,C
Cagliari,17,Pantelīs Hatzīdīakos,D
Cagliari,18,Simone Aresti,P
Cagliari,19,Gaetano Oristanio,C
Cagliari,20,Gastón Pereiro,A
Cagliari,21,Jakub Jankto,C
Cagliari,22,Simone Scuffet,P
Cagliari,23,Nunzio Lella,C
Cagliari,23,Mateusz Wieteska,D
Cagliari,24,Elio Capradossi,D
Cagliari,25,Ibrahim Sulemana,C
Cagliari,26,Yerry Mina,D
Cagliari,27,Tommaso Augello,D
Cagliari,28,Gabriele Zappa,D
Cagliari,29,Antoine Makoumbou,C
Cagliari,30,Leonardo Pavoletti,A
Cagliari,32,Andrea Petagna,A
Cagliari,33,Adam Obert,D
Cagliari,34,Kingstone Mutandwa,A
Cagliari,37,Paulo Azzi,D
Cagliari,38,Jacopo Desogus,A
Cagliari,39,Christos Kourfalidis,C
Cagliari,61,Eldor Shomurodov,A
Cagliari,70,Gianluca Gaetano,C
Cagliari,77,Zito Luvumbo,A
Cagliari,99,Alessandro Di Pardo,D
