Team,Number,Player,Position
Empoli,1,Samuele Perisan,P
Empoli,2,Saba Goglichidze,D
Empoli,3,Giuseppe Pezzella,D
Empoli,4,Sebastian Walukiewicz,D
Empoli,5,Alberto Grassi,C
Empoli,7,Stiven Shpendi,A
Empoli,8,Viktor Kovalenko,C
Empoli,9,Francesco Caputo,A
Empoli,10,Liam Henderson,C
Empoli,11,M'Baye Niang,A
Empoli,12,Emmanuel Gyasi,A
Empoli,13,Liberato Cacace,D
Empoli,14,Gabriele Guarino,D
Empoli,16,Luca Belardinelli,C
Empoli,17,Emmanuel Ekong,A
Empoli,17,Alberto Cerri,C
Empoli,18,Răzvan Marin,C
Empoli,19,Bartosz Bereszyński,D
Empoli,20,Matteo Cancellieri,A
Empoli,21,Jacopo Fazzini,C
Empoli,22,Filippo Ranocchia,C
Empoli,23,Mattia Destro,A
Empoli,24,Tyronne Ebuehi,D
Empoli,25,Elia Caprile,P
Empoli,27,Daniel Maldini,A
Empoli,27,Szymon Żurkowski,C
Empoli,28,Nicolò Cambiaghi,A
Empoli,29,Youssef Maleh,C
Empoli,30,Simone Bastoni,C
Empoli,30,Petar Stojanović,D
Empoli,31,Luca Marianucci,D
Empoli,31,Giacomo Corona,A
Empoli,32,Nicolas Haas,C
Empoli,33,Sebastiano Luperto,D
Empoli,34,Ardian Ismajli,D
Empoli,35,Tommaso Baldanzi,A
Empoli,37,Iwo Kaczmarski,C
Empoli,39,Alessandro Sodero,C
Empoli,40,Lovro Stubljar,P
Empoli,44,Lorenzo Ignacchiti,C
Empoli,91,Roberto Piccoli,A
Empoli,92,Giovanni Crociata,C
Empoli,99,Etrit Berisha,P
