Team,Number,Player,Position
Frosinone,1,Pierluigi Frattali,P
Frosinone,3,Riccardo Marchizza,D
Frosinone,4,Marco Brescianini,C
Frosinone,5,Caleb Okoli,D
Frosinone,6,Simone Romagnoli,D
Frosinone,7,Jaime Báez,A
Frosinone,8,Karlo Lulić,C
Frosinone,8,Demba Seck,A
Frosinone,9,Gennaro Borrelli,A
Frosinone,9,Kaio Jorge,A
Frosinone,10,Giuseppe Caso,A
Frosinone,11,Marvin Cuni,A
Frosinone,12,Reinier,C
Frosinone,14,Francesco Gelli,C
Frosinone,16,Luca Garritano,C
Frosinone,17,Giorgi Kvernadze,A
Frosinone,18,Matías Soulé,A
Frosinone,19,Luigi Canotto,A
Frosinone,20,Nadir Zortea,D
Frosinone,20,Pol Lirola,D
Frosinone,21,Abdou Harroui,C
Frosinone,22,Anthony Oyono,D
Frosinone,23,Sergio Kalaj,D
Frosinone,24,Mehdi Bourabia,C
Frosinone,25,Przemysław Szymiński,D
Frosinone,26,Soufiane Bidaoui,A
Frosinone,27,Arijon Ibrahimović,C
Frosinone,29,Farès Ghedjemis,A
Frosinone,30,Ilario Monterisi,D
Frosinone,31,Michele Cerofolini,P
Frosinone,32,Emanuele Valeri,D
Frosinone,33,Michele Avella,P
Frosinone,33,Kevin Bonifazi,D
Frosinone,36,Luca Mazzitelli,C
Frosinone,45,Enzo Barrenechea,C
Frosinone,47,Mateus Lusuardi,D
Frosinone,70,Walid Cheddira,A
Frosinone,80,Stefano Turati,P
