Team,Number,Player,Position
Monza,1,Eugenio Lamanna,P
Monza,2,Giulio Donati,D
Monza,3,Armando Anastasio,D
Monza,4,Armando Izzo,D
Monza,5,Luca Caldirola,D
Monza,6,Roberto Gagliardini,C
Monza,7,José Machín,C
Monza,8,Jean-Daniel Akpa-Akpro,C
Monza,9,Lorenzo Colombo,A
Monza,10,Gianluca Caprari,A
Monza,11,Milan Đurić,A
Monza,11,Franco Carboni,C
Monza,13,Pedro Pereira,D
Monza,16,Michele Di Gregorio,P
Monza,17,Alejandro Gómez,C
Monza,18,Davide Bettella,D
Monza,19,Samuele Birindelli,D
Monza,20,Alessio Zerbin,A
Monza,21,Valentín Carboni,C
Monza,22,Pablo Marí,D
Monza,23,Alessandro Sorrentino,P
Monza,24,Mirko Marić,A
Monza,26,Valentin Antov,D
Monza,27,Daniel Maldini,C
Monza,27,Mattia Valoti,C
Monza,28,Andrea Colpani,C
Monza,31,Mario Sampirisi,D
Monza,32,Matteo Pessina,C
Monza,33,Danilo D'Ambrosio,D
Monza,37,Andrea Petagna,A
Monza,38,Warren Bondo,C
Monza,44,Andrea Carboni,D
Monza,46,Giorgio Cittadini,D
Monza,47,Dany Mota,A
Monza,61,Andrea Ferraris,A
Monza,66,Stefano Gori,P
Monza,77,Georgios Kyriakopoulos,D
Monza,79,Matija Popović,A
Monza,80,Samuele Vignato,C
Monza,84,Patrick Ciurria,A
