Team,Number,Player,Position
Napoli,1,Alex Meret,P
Napoli,3,Natan,D
Napoli,4,Diego Demme,C
Napoli,5,Juan Jesus,D
Napoli,6,Mário Rui,D
Napoli,7,Eljif Elmas,C
Napoli,8,Hamed Traorè,C
Napoli,9,Victor Osimhen,A
Napoli,11,Hirving Lozano,A
Napoli,13,Amir Rrahmani,D
Napoli,14,Nikita Contini,P
Napoli,16,Hubert Idasiak,P
Napoli,17,Mathías Olivera,D
Napoli,18,Giovanni Simeone,A
Napoli,20,Piotr Zieliński,C
Napoli,21,Matteo Politano,A
Napoli,22,Giovanni Di Lorenzo,D
Napoli,23,Alessio Zerbin,A
Napoli,24,Jens Cajuste,C
Napoli,26,Cyril Ngonge,A
Napoli,29,Jesper Lindstrøm,C
Napoli,30,Pasquale Mazzocchi,D
Napoli,31,Karim Zedadka,C
Napoli,32,Leander Dendoncker,C
Napoli,55,Leo Skiri Østigård,D
Napoli,59,Alessandro Zanoli,D
Napoli,68,Stanislav Lobotka,C
Napoli,70,Gianluca Gaetano,C
Napoli,77,Khvicha Kvaratskhelia,A
Napoli,81,Giacomo Raspadori,A
Napoli,95,Pierluigi Gollini,P
Napoli,99,André-Frank Anguissa,C
