Team,Number,Player,Position
Roma,1,Rui Patrício,P
Roma,2,Rick Karsdorp,D
Roma,3,Dean Huijsen,D
Roma,4,Bryan Cristante,C
Roma,5,Evan N'Dicka,D
Roma,6,Chris Smalling,D
Roma,7,Lorenzo Pellegrini,C
Roma,9,Tammy Abraham,A
Roma,11,Andrea Belotti,A
Roma,14,Diego Llorente,D
Roma,16,Leandro Paredes,C
Roma,17,Sardar Azmoun,A
Roma,18,Ola Solbakken,A
Roma,19,Zeki Çelik,D
Roma,20,Renato Sanches,C
Roma,21,Paulo Dybala,A
Roma,22,Houssem Aouar,C
Roma,23,Gianluca Mancini,D
Roma,24,Marash Kumbulla,D
Roma,35,Tommaso Baldanzi,A
Roma,37,Leonardo Spinazzola,D
Roma,43,Rasmus Kristensen,D
Roma,52,Edoardo Bove,C
Roma,59,Nicola Zalewski,C
Roma,60,Riccardo Pagano,C
Roma,61,Niccolò Pisilli,C
Roma,63,Pietro Boer,P
Roma,64,Luigi Cherubini,A
Roma,66,Mattia Mannini,C
Roma,67,João Costa,A
Roma,68,Francesco D'Alessio,C
Roma,69,Angeliño,D
Roma,72,Lovro Golić,D
Roma,90,Romelu Lukaku,A
Roma,92,Stephan El Shaarawy,A
Roma,99,Mile Svilar,P
