Team,Number,Player,Position
Salernitana,1,Vincenzo Fiorillo,P
Salernitana,3,Domagoj Bradarić,D
Salernitana,4,Triantafyllos Pasaridīs,D
Salernitana,5,Flavius Daniliuc,D
Salernitana,5,Jérôme Boateng,D
Salernitana,6,Junior Sambia,C
Salernitana,7,Agustín Martegani,C
Salernitana,8,Emil Bohinen,C
Salernitana,9,Simy,A
Salernitana,10,Boulaye Dia,A
Salernitana,11,Iron Gomis,C
Salernitana,11,Erik Botheim,A
Salernitana,13,Guillermo Ochoa,P
Salernitana,14,Diego Valencia,A
Salernitana,22,Shon Weissman,A
Salernitana,23,Federico Fazio,D
Salernitana,18,Lassana Coulibaly,C
Salernitana,19,Trivante Stewart,A
Salernitana,20,Grīgorīs Kastanos,C
Salernitana,21,Jovane Cabral,A
Salernitana,22,Chukwubuikem Ikwuemesi,A
Salernitana,23,Norbert Gyömbér,D
Salernitana,24,Marco Pellegrino,D
Salernitana,25,Giulio Maggiore,C
Salernitana,26,Toma Bašić,C
Salernitana,27,Niccolò Pierozzi,D
Salernitana,28,Dylan Bronn,D
Salernitana,30,Pasquale Mazzocchi,D
Salernitana,33,Luigi Sepe,P
Salernitana,33,Loum Tchaouna,C
Salernitana,39,Antonio Pio Iervolino,C
Salernitana,40,Emanuele Elia,D
Salernitana,43,Gerardo Fusco,D
Salernitana,44,Kōstas Manōlas,D
Salernitana,55,Emanuel Vignato,C
Salernitana,56,Benoît Costil,P
Salernitana,59,Alessandro Zanoli,D
Salernitana,66,Matteo Lovato,D
Salernitana,78,Mamadou Coulibaly,C
Salernitana,87,Antonio Candreva,C
Salernitana,88,Lorenzo Pirola,D
Salernitana,99,Mateusz Łęgowski,C
