Team,Number,Player,Position
Sassuolo,2,Filippo Missori,D
Sassuolo,3,Marcus Pedersen,D
Sassuolo,5,Martin Erlić,D
Sassuolo,6,Uroš Račić,C
Sassuolo,7,Matheus Henrique,C
Sassuolo,8,Samuele Mulattieri,A
Sassuolo,9,Andrea Pinamonti,A
Sassuolo,10,Domenico Berardi,A
Sassuolo,11,Nedim Bajrami,C
Sassuolo,13,Gian Marco Ferrari,D
Sassuolo,14,Pedro Obiang,C
Sassuolo,15,Emil Ceide,A
Sassuolo,17,Matías Viña,D
Sassuolo,19,Agustín Álvarez,A
Sassuolo,19,Marash Kumbulla,D
Sassuolo,21,Mattia Viti,D
Sassuolo,22,Jeremy Toljan,D
Sassuolo,23,Cristian Volpato,A
Sassuolo,24,Daniel Boloca,C
Sassuolo,25,Gianluca Pegolo,P
Sassuolo,27,Maxime Lopez,C
Sassuolo,28,Alessio Cragno,P
Sassuolo,31,Flavio Russo,A
Sassuolo,32,Kevin Leone,C
Sassuolo,33,Daniel Theiner,P
Sassuolo,35,Luca Lipani,C
Sassuolo,42,Kristian Thorstvedt,C
Sassuolo,43,Josh Doig,D
Sassuolo,44,Ruan Tressoldi,D
Sassuolo,45,Armand Laurienté,A
Sassuolo,47,Andrea Consigli,P
Sassuolo,92,Grégoire Defrel,A
