Team,Number,Player,Position
Torino,1,Luca Gemello,P
Torino,2,Brian Bayeye,D
Torino,3,Perr Schuurs,D
Torino,4,Alessandro Buongiorno,D
Torino,5,Adam Masina,D
Torino,6,David Zima,D
Torino,6,Matteo Lovato,D
Torino,7,Yann Karamoh,A
Torino,8,Ivan Ilić,C
Torino,9,Antonio Sanabria,A
Torino,10,Nemanja Radonjić,A
Torino,11,Pietro Pellegri,A
Torino,13,Ricardo Rodríguez,D
Torino,15,Saba Sazonov,D
Torino,16,Nikola Vlašić,A
Torino,17,Wilfried Singo,D
Torino,19,Raoul Bellanova,D
Torino,20,Valentino Lazaro,D
Torino,21,David Okereke,A
Torino,23,Demba Seck,A
Torino,25,Alessandro Dellavalle,D
Torino,26,Koffi Djidji,D
Torino,27,Mërgim Vojvoda,D
Torino,28,Samuele Ricci,C
Torino,32,Vanja Milinković-Savić,P
Torino,61,Adrien Tameze,C
Torino,66,Gvidas Gineitis,C
Torino,71,Mihai Popa,P
Torino,77,Karol Linetty,C
Torino,79,Zannetos Savva,A
Torino,91,Duván Zapata,A
Torino,93,Brandon Soppy,D
Torino,99,Simone Verdi,C
