Team,Number,Player,Position
Udinese,1,Marco Silvestri,P
Udinese,2,Festy Ebosele,D
Udinese,3,Adam Masina,D
Udinese,4,Sandi Lovric,C
Udinese,5,Axel Guessand,D
Udinese,6,Oier Zarraga,C
Udinese,7,Isaac Success,A
Udinese,8,Domingos Quina,C
Udinese,9,Keinan Davis,A
Udinese,10,Gerard Deulofeu,A
Udinese,11,Walace,C
Udinese,12,Hassane Kamara,D
Udinese,13,João Ferreira,D
Udinese,14,James Abankwah,D
Udinese,15,Marley Aké,A
Udinese,16,Antonio Tikvić,D
Udinese,17,Lorenzo Lucca,A
Udinese,18,Nehuén Pérez,D
Udinese,19,Kingsley Ehizibue,D
Udinese,20,Vivaldo Semedo,A
Udinese,21,Etienne Camara,C
Udinese,22,Brenner,A
Udinese,23,Enzo Ebosse,D
Udinese,24,Lazar Samardžić,C
Udinese,25,Marco Ballarini,C
Udinese,26,Florian Thauvin,A
Udinese,27,Christian Kabasele,D
Udinese,29,Jaka Bijol,D
Udinese,30,Lautaro Giannetti,D
Udinese,31,Thomas Kristensen,D
Udinese,32,Martin Payero,C
Udinese,33,Jordan Zemura,D
Udinese,34,Sekou Diawara,A
Udinese,37,Roberto Pereyra,C
Udinese,40,Maduka Okoye,P
Udinese,79,David Pejičić,C
Udinese,80,Simone Pafundi,A
Udinese,83,Samuel John Nwachukwu,D
Udinese,93,Daniele Padelli,P
