Team,Number,Player,Position
Verona,1,Lorenzo Montipò,P
Verona,2,Bruno Amione,D
Verona,3,Josh Doig,D
Verona,5,Davide Faraoni,D
Verona,6,Isak Hien,D
Verona,7,Reda Belahyane,C
Verona,8,Elayis Tavşan,C
Verona,9,Darko Lazović,A
Verona,10,Thomas Henry,A
Verona,11,Stefan Mitrović,A
Verona,11,Milan Đurić,A
Verona,14,Karol Świderski,A
Verona,13,Juan Manuel Cruz,A
Verona,14,Joselito,C
Verona,16,Mattia Chiesa,P
Verona,17,Federico Ceccherini,D
Verona,17,Yayah Kallon,A
Verona,18,Tijjani Noslin,A
Verona,19,Martin Hongla,C
Verona,20,Fabien Centonze,D
Verona,21,Rúben Vinagre,D
Verona,20,Riccardo Saponara,C
Verona,21,Siren Diao Balde,A
Verona,21,Dani Silva,C
Verona,22,Alessandro Berardi,P
Verona,23,Giangiacomo Magnani,D
Verona,24,Filippo Terracciano,D
Verona,25,Suat Serdar,C
Verona,26,Cyril Ngonge,A
Verona,27,Paweł Dawidowicz,D
Verona,28,Nicola Patanè,C
Verona,30,Tomáš Suslov,C
Verona,31,Juan David Cabal,D
Verona,33,Ondrej Duda,C
Verona,34,Simone Perilli,P
Verona,37,Charlys,C
Verona,38,Jackson Tchatchoua,A
Verona,42,Diego Coppola,D
Verona,72,Junior Ajayi,A
Verona,75,Nicolò Calabrese,D
Verona,77,Jordi Mboula,A
Verona,80,Alphadjo Cissè,A
Verona,84,Christian Corradi,D
Verona,90,Michael Folorunsho,C
Verona,94,Giacomo Toniolo,P
Verona,97,Denis Cazzadori,D
Verona,99,Federico Bonazzoli,A
