Player,Team,Position,Etichetta_Tattica
adrien tameze,Torino,C,Centrale equilibrato
adrien rabiot,Juventus,C,Trequartista
alfred duncan,Fiorentina,C,Trequartista
alexis blin,Lecce,C,Regista
warren bondo,Monza,C,Centrale equilibrato
kacper urbanski,Bologna,C,Box-to-Box
jonathan ikone,Fiorentina,C,Mezzala offensiva
joan gonzalez,Lecce,C,Box-to-Box
karol linetty,Torino,C,Regista
uros racic,Sassuolo,C,Centrale equilibrato
tomas suslov,Verona,C,Box-to-Box
timothy weah,Juventus,C,Regista
tijjani reijnders,AC Milan,C,Trequartista
andre-frank zambo anguissa,Napoli,C,Regista
alessandro deiola,Cagliari,C,Mezzala offensiva
kristjan asllani,Inter,C,Centrale equilibrato
kristian thorstvedt,Sassuolo,C,Mezzala offensiva
kevin strootman,Genoa,C,Centrale equilibrato
antonin barak,Fiorentina,C,Mezzala offensiva
antoine makoumbou,Cagliari,C,Centrale equilibrato
andrea colpani,Monza,C,Trequartista
teun koopmeiners,Atalanta,C,Trequartista
jacopo fazzini,Empoli,C,Box-to-Box
lorenzo pellegrini,Roma,C,Trequartista
lewis ferguson,Bologna,C,Trequartista
suat serdar,Verona,C,Box-to-Box
arthur,Fiorentina,C,Centrale equilibrato
stanislav lobotka,Napoli,C,Centrale equilibrato
jens-lys cajuste,Napoli,C,Box-to-Box
jean-daniel akpa-akpro,Monza,C,Regista
lazar samardzic,Udinese,C,Trequartista
lassana coulibaly,Salernitana,C,Regista
loum tchaouna,Salernitana,C,Mezzala offensiva
ibrahim sulemana,Cagliari,C,Regista
henrikh mkhitaryan,Inter,C,Trequartista
hamza rafia,Lecce,C,Box-to-Box
antonio candreva,Salernitana,C,Trequartista
bryan cristante,Roma,C,Trequartista
sandi lovric,Udinese,C,Mezzala offensiva
samuele ricci,Torino,C,Regista
hakan calhanoglu,Inter,C,Trequartista
ivan ilic,Torino,C,Trequartista
ismael bennacer,AC Milan,C,Centrale equilibrato
luis alberto,Lazio,C,Trequartista
ruslan malinovsky,Genoa,C,Mezzala offensiva
ruben loftus-cheek,AC Milan,C,Mezzala offensiva
rolando mandragora,Fiorentina,C,Mezzala offensiva
roberto pereyra,Udinese,C,Mezzala offensiva
leandro paredes,Roma,C,Centrale equilibrato
luca mazzitelli,Frosinone,C,Mezzala offensiva
remo freuler,Bologna,C,Centrale equilibrato
remi oudin,Lecce,C,Mezzala offensiva
reinier,Frosinone,C,Regista
razvan marin,Empoli,C,Mezzala offensiva
gianluca gaetano,Cagliari,C,Mezzala offensiva
grigoris kastanos,Salernitana,C,Mezzala offensiva
manuel lazzari,Lazio,C,Regista
giacomo bonaventura,Fiorentina,C,Trequartista
mateusz legowski,Salernitana,C,Regista
martin payero,Udinese,C,Box-to-Box
marten de roon,Atalanta,C,Regista
giulio maggiore,Salernitana,C,Regista
giovanni fabbian,Bologna,C,Mezzala offensiva
mario pasalic,Atalanta,C,Trequartista
marco brescianini,Frosinone,C,Mezzala offensiva
manuel locatelli,Juventus,C,Centrale equilibrato
matias vecino,Lazio,C,Centrale equilibrato
matheus henrique,Sassuolo,C,Regista
gaetano oristanio,Cagliari,C,Box-to-Box
danilo cataldi,Lazio,C,Centrale equilibrato
daniel boloca,Sassuolo,C,Centrale equilibrato
daichi kamada,Lazio,C,Centrale equilibrato
piotr zielinski,Napoli,C,Trequartista
gabriel strefezza,Lecce,C,Box-to-Box
maxime lopez,Fiorentina,C,Regista
roberto gagliardini,Monza,C,Centrale equilibrato
davide zappacosta,Atalanta,C,Mezzala offensiva
davide frattesi,Inter,C,Mezzala offensiva
mattia zaccagni,Lazio,C,Box-to-Box
matteo prati,Cagliari,C,Mezzala offensiva
matteo pessina,Monza,C,Centrale equilibrato
matteo guendouzi,Lazio,C,Regista
fabio miretti,Juventus,C,Box-to-Box
enzo barrenechea,Frosinone,C,Regista
mohamed kaba,Lecce,C,Regista
milan badelj,Genoa,C,Regista
michel aebischer,Bologna,C,Centrale equilibrato
michael folorunsho,Verona,C,Mezzala offensiva
francesco gelli,Frosinone,C,Regista
filip kostic,Juventus,C,Trequartista
felipe anderson,Lazio,C,Trequartista
nicola zalewski,Roma,C,Box-to-Box
nedim bajrami,Sassuolo,C,Mezzala offensiva
nahitan nandez,Cagliari,C,Box-to-Box
morten thorsby,Genoa,C,Mezzala offensiva
morten frendrup,Genoa,C,Regista
ederson,Atalanta,C,Regista
ondrej duda,Verona,C,Regista
nikola moro,Bologna,C,Regista
nicolo rovella,Lazio,C,Centrale equilibrato
nicolo barella,Inter,C,Trequartista
nicolas viola,Cagliari,C,Mezzala offensiva
edoardo bove,Roma,C,Regista
yunus musah,AC Milan,C,Regista
youssef maleh,Empoli,C,Regista
ylber ramadani,Lecce,C,Regista
yacine adli,AC Milan,C,Centrale equilibrato
weston mckennie,Juventus,C,Trequartista
alberto grassi,Empoli,C,Regista
valentin carboni,Monza,C,Box-to-Box
walace,Udinese,C,Regista
