Giocatore,Giornata,Team,Role,Score,Prob_Gol,Pred_Gol_Pesata,GolUlt3,Score_norm,GolUlt3_norm,Score_Composito,Etichetta
andrea bartoccioni,G38,AC Milan,P,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
antonio mirante,G38,AC Milan,P,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
lapo nava,G38,AC Milan,P,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
lorenzo torriani,G38,AC Milan,P,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
marco sportiello,G38,AC Milan,P,0.5393016044222732,0.0,0.0,0,0.0539301604422273,0.0,0.0377511123095591,2.0
mike maignan,G38,AC Milan,P,7.2239449912363485,0.0,0.0,0,0.7223944991236348,0.0,0.5056761493865444,1.0
noah raveyre,G38,AC Milan,P,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
francesco rossi,G38,Atalanta,P,0.0,0.0,0.0,2,0.0,0.6666666666666666,0.1999999999999999,0.0
juan musso,G38,Atalanta,P,1.6179048132668192,0.0,0.0,2,0.1617904813266819,0.6666666666666666,0.3132533369286773,2.0
marco carnesecchi,G38,Atalanta,P,6.906655880634578,0.0,0.0,2,0.6906655880634578,0.6666666666666666,0.6834659116444204,1.0
federico ravaglia,G38,Bologna,P,1.0786032088445463,0.0,0.0,3,0.1078603208844546,1.0,0.3755022246191182,0.0
lukasz skorupski,G38,Bologna,P,8.150195496831603,0.0,0.0,3,0.8150195496831604,1.0,0.8705136847782122,1.0
nicola bagnolini,G38,Bologna,P,0.0,0.0,0.0,3,0.0,1.0,0.3,0.0
boris radunovic,G38,Cagliari,P,0.5393016044222732,0.0,0.0,6,0.0539301604422273,2.0,0.637751112309559,1.0
simone aresti,G38,Cagliari,P,0.0,0.0,0.0,6,0.0,2.0,0.6,0.0
simone scuffet,G38,Cagliari,P,4.832591793627252,0.0,0.0,6,0.4832591793627251,2.0,0.9382814255539076,1.0
elia caprile,G38,Empoli,P,6.204215540874567,0.0,0.0,3,0.6204215540874567,1.0,0.7342950878612197,1.0
etrit berisha,G38,Empoli,P,1.0786032088445463,0.0,0.0,3,0.1078603208844546,1.0,0.3755022246191182,0.0
lovro stubljar,G38,Empoli,P,0.0,0.0,0.0,3,0.0,1.0,0.3,0.0
samuele perisan,G38,Empoli,P,0.0,0.0,0.0,3,0.0,1.0,0.3,0.0
oliver christensen,G38,Fiorentina,P,0.0,0.0,0.0,5,0.0,1.6666666666666667,0.5,0.0
pietro terracciano,G38,Fiorentina,P,6.720596827108893,0.0,0.0,5,0.6720596827108893,1.6666666666666667,0.9704417778976224,1.0
tommaso martinelli,G38,Fiorentina,P,0.0,0.0,0.0,5,0.0,1.6666666666666667,0.5,0.0
tommaso vannucchi,G38,Fiorentina,P,0.0,0.0,0.0,5,0.0,1.6666666666666667,0.5,0.0
michele avella,G38,Frosinone,P,0.0,0.0,0.0,5,0.0,1.6666666666666667,0.5,0.0
michele cerofolini,G38,Frosinone,P,0.5393016044222732,0.0,0.0,5,0.0539301604422273,1.6666666666666667,0.5377511123095591,1.0
pierluigi frattali,G38,Frosinone,P,0.0,0.0,0.0,5,0.0,1.6666666666666667,0.5,0.0
stefano turati,G38,Frosinone,P,5.078872859646755,0.0,0.0,5,0.5078872859646755,1.6666666666666667,0.8555211001752728,1.0
daniele sommariva,G38,Genoa,P,0.0,0.0,0.0,5,0.0,1.6666666666666667,0.5,0.0
franz stolz,G38,Genoa,P,0.0,0.0,0.0,5,0.0,1.6666666666666667,0.5,0.0
josep martinez,G38,Genoa,P,6.847332704148128,0.0,0.0,5,0.6847332704148128,1.6666666666666667,0.9793132892903688,1.0
nicola leali,G38,Genoa,P,0.0,0.0,0.0,5,0.0,1.6666666666666667,0.5,0.0
emil audero,G38,Inter,P,0.5393016044222732,0.0,0.0,2,0.0539301604422273,0.6666666666666666,0.2377511123095591,2.0
raffaele di gennaro,G38,Inter,P,0.0,0.0,0.0,2,0.0,0.6666666666666666,0.1999999999999999,0.0
yann sommer,G38,Inter,P,9.941126241517232,0.0,0.0,2,0.9941126241517232,0.6666666666666666,0.8958788369062062,1.0
carlo pinsoglio,G38,Juventus,P,0.0,0.0,0.0,5,0.0,1.6666666666666667,0.5,0.0
mattia perin,G38,Juventus,P,0.2696508022111366,0.0,0.0,5,0.0269650802211136,1.6666666666666667,0.5188755561547795,1.0
wojciech szczesny,G38,Juventus,P,8.7465731877219,0.0,0.0,5,0.87465731877219,1.6666666666666667,1.112260123140533,1.0
alessio furlanetto,G38,Lazio,P,0.0,0.0,0.0,3,0.0,1.0,0.3,0.0
christos mandas,G38,Lazio,P,1.0786032088445463,0.0,0.0,3,0.1078603208844546,1.0,0.3755022246191182,0.0
ivan provedel,G38,Lazio,P,7.020808053570625,0.0,0.0,3,0.7020808053570625,1.0,0.7914565637499438,1.0
marius adamonis,G38,Lazio,P,0.0,0.0,0.0,3,0.0,1.0,0.3,0.0
alexandru borbei,G38,Lecce,P,0.0,0.0,0.0,5,0.0,1.6666666666666667,0.5,0.0
federico brancolini,G38,Lecce,P,0.0,0.0,0.0,5,0.0,1.6666666666666667,0.5,0.0
jasper samooja,G38,Lecce,P,0.0,0.0,0.0,5,0.0,1.6666666666666667,0.5,0.0
wladimiro falcone,G38,Lecce,P,6.397465282459216,0.0,0.0,5,0.6397465282459216,1.6666666666666667,0.9478225697721452,1.0
alessandro sorentino,G38,Monza,P,0.0,0.0,0.0,5,0.0,1.6666666666666667,0.5,0.0
eugenio lamanna,G38,Monza,P,0.0,0.0,0.0,5,0.0,1.6666666666666667,0.5,0.0
michele di gregorio,G38,Monza,P,8.336254550357287,0.0,0.0,5,0.8336254550357287,1.6666666666666667,1.0835378185250102,1.0
stefano gori,G38,Monza,P,0.0,0.0,0.0,5,0.0,1.6666666666666667,0.5,0.0
alex meret,G38,Napoli,P,5.569637319671027,0.0,0.0,5,0.5569637319671027,1.6666666666666667,0.8898746123769719,1.0
hubert idasiak,G38,Napoli,P,0.0,0.0,0.0,5,0.0,1.6666666666666667,0.5,0.0
nikita contini,G38,Napoli,P,0.0,0.0,0.0,5,0.0,1.6666666666666667,0.5,0.0
pierluigi gollini,G38,Napoli,P,0.2696508022111366,0.0,0.0,5,0.0269650802211136,1.6666666666666667,0.5188755561547795,1.0
mile svilar,G38,Roma,P,1.3482540110556829,0.0,0.0,3,0.1348254011055683,1.0,0.3943777807738978,0.0
pietro boer,G38,Roma,P,0.0,0.0,0.0,3,0.0,1.0,0.3,0.0
rui patricio,G38,Roma,P,5.942654262729764,0.0,0.0,3,0.5942654262729764,1.0,0.7159857983910835,1.0
benoit costil,G38,Salernitana,P,0.2696508022111366,0.0,0.0,5,0.0269650802211136,1.6666666666666667,0.5188755561547795,1.0
guillermo ochoa,G38,Salernitana,P,4.0919509235539975,0.0,0.0,5,0.4091950923553997,1.6666666666666667,0.7864365646487799,1.0
luigi sepe,G38,Salernitana,P,0.0,0.0,0.0,5,0.0,1.6666666666666667,0.5,0.0
vincenzo fiorillo,G38,Salernitana,P,0.0,0.0,0.0,5,0.0,1.6666666666666667,0.5,0.0
alessio cragno,G38,Sassuolo,P,0.0,0.0,0.0,4,0.0,1.3333333333333333,0.3999999999999999,0.0
andrea consigli,G38,Sassuolo,P,4.835737719653049,0.0,0.0,4,0.4835737719653049,1.3333333333333333,0.7385016403757134,1.0
daniel theiner,G38,Sassuolo,P,0.0,0.0,0.0,4,0.0,1.3333333333333333,0.3999999999999999,0.0
gianluca pegolo,G38,Sassuolo,P,0.0,0.0,0.0,4,0.0,1.3333333333333333,0.3999999999999999,0.0
luca gemello,G38,Torino,P,0.0,0.0,0.0,3,0.0,1.0,0.3,0.0
mihai popa,G38,Torino,P,0.0,0.0,0.0,3,0.0,1.0,0.3,0.0
vanja milinkovic-savic,G38,Torino,P,10.0,0.0,0.0,3,1.0,1.0,1.0,1.0
daniele padelli,G38,Udinese,P,0.0,0.0,0.0,2,0.0,0.6666666666666666,0.1999999999999999,0.0
maduka okoye,G38,Udinese,P,5.898611298368613,0.0,0.0,2,0.5898611298368613,0.6666666666666666,0.6129027908858029,1.0
marco silvestri,G38,Udinese,P,1.0786032088445463,0.0,0.0,2,0.1078603208844546,0.6666666666666666,0.2755022246191182,2.0
alessandro berardi,G38,Verona,P,0.0,0.0,0.0,3,0.0,1.0,0.3,0.0
