Giocatore,Team,Role,Score_norm,Prob_Gol,Pred_Gol_Pesata,Etichetta_Predetta
vanja milinkovic-savic,Torino,P,1.0,0.0,0.0,consigliato
yann sommer,Inter,P,0.9941126241517232,0.0,0.0,consigliato
wojciech szczesny,Juventus,P,0.87465731877219,0.0,0.0,consigliato
michele di gregorio,Monza,P,0.8336254550357287,0.0,0.0,consigliato
lukasz skorupski,Bologna,P,0.8150195496831604,0.0,0.0,consigliato
mike maignan,AC Milan,P,0.7223944991236348,0.0,0.0,consigliato
ivan provedel,Lazio,P,0.7020808053570625,0.0,0.0,consigliato
marco carnesecchi,Atalanta,P,0.6906655880634578,0.0,0.0,consigliato
josep martinez,Genoa,P,0.6847332704148128,0.0,0.0,consigliato
pietro terracciano,Fiorentina,P,0.6720596827108893,0.0,0.0,consigliato
lorenzo montipo,Verona,P,0.6697227090917262,0.0,0.0,consigliato
wladimiro falcone,Lecce,P,0.6397465282459216,0.0,0.0,consigliato
elia caprile,Empoli,P,0.6204215540874567,0.0,0.0,consigliato
rui patricio,Roma,P,0.5942654262729764,0.0,0.0,consigliato
maduka okoye,Udinese,P,0.5898611298368613,0.0,0.0,consigliato
alex meret,Napoli,P,0.5569637319671027,0.0,0.0,consigliato
stefano turati,Frosinone,P,0.5078872859646755,0.0,0.0,consigliato
andrea consigli,Sassuolo,P,0.4835737719653049,0.0,0.0,consigliato
simone scuffet,Cagliari,P,0.4832591793627251,0.0,0.0,consigliato
guillermo ochoa,Salernitana,P,0.4091950923553997,0.0,0.0,consigliato
juan musso,Atalanta,P,0.1617904813266819,0.0,0.0,sorpresa
mile svilar,Roma,P,0.1348254011055683,0.0,0.0,non consigliato
federico ravaglia,Bologna,P,0.1078603208844546,0.0,0.0,consigliato
marco silvestri,Udinese,P,0.1078603208844546,0.0,0.0,sorpresa
christos mandas,Lazio,P,0.1078603208844546,0.0,0.0,sorpresa
etrit berisha,Empoli,P,0.1078603208844546,0.0,0.0,non consigliato
boris radunovic,Cagliari,P,0.0539301604422273,0.0,0.0,consigliato
michele cerofolini,Frosinone,P,0.0539301604422273,0.0,0.0,consigliato
marco sportiello,AC Milan,P,0.0539301604422273,0.0,0.0,non consigliato
emil audero,Inter,P,0.0539301604422273,0.0,0.0,non consigliato
pierluigi gollini,Napoli,P,0.0269650802211136,0.0,0.0,non consigliato
mattia perin,Juventus,P,0.0269650802211136,0.0,0.0,non consigliato
benoit costil,Salernitana,P,0.0269650802211136,0.0,0.0,consigliato
lovro stubljar,Empoli,P,0.0,0.0,0.0,non consigliato
luca gemello,Torino,P,0.0,0.0,0.0,non consigliato
luigi sepe,Salernitana,P,0.0,0.0,0.0,non consigliato
