Giocatore,Giornata,Team,Role,Score,Prob_Gol,Pred_Gol_Pesata
vanja milinkovic-savic,G4,Torino,P,10.0,0.0,0.0
yann sommer,G4,Inter,P,9.941126241517232,0.0,0.0
wojciech szczesny,G4,Juventus,P,8.7465731877219,0.0,0.0
michele di gregorio,G4,Monza,P,8.336254550357287,0.0,0.0
lukasz skorupski,G4,Bologna,P,8.150195496831603,0.0,0.0
mike maignan,G4,AC Milan,P,7.2239449912363485,0.0,0.0
ivan provedel,G4,Lazio,P,7.020808053570625,0.0,0.0
marco carnesecchi,G4,Atalanta,P,6.906655880634578,0.0,0.0
josep martinez,G4,Genoa,P,6.847332704148128,0.0,0.0
pietro terracciano,G4,Fiorentina,P,6.720596827108893,0.0,0.0
lorenzo montipo,G4,Verona,P,6.697227090917261,0.0,0.0
wladimiro falcone,G4,Lecce,P,6.397465282459216,0.0,0.0
elia caprile,G4,Empoli,P,6.204215540874567,0.0,0.0
rui patricio,G4,Roma,P,5.942654262729764,0.0,0.0
maduka okoye,G4,Udinese,P,5.898611298368613,0.0,0.0
alex meret,G4,Napoli,P,5.569637319671027,0.0,0.0
stefano turati,G4,Frosinone,P,5.078872859646755,0.0,0.0
andrea consigli,G4,Sassuolo,P,4.835737719653049,0.0,0.0
simone scuffet,G4,Cagliari,P,4.832591793627252,0.0,0.0
guillermo ochoa,G4,Salernitana,P,4.0919509235539975,0.0,0.0
juan musso,G4,Atalanta,P,1.6179048132668192,0.0,0.0
mile svilar,G4,Roma,P,1.3482540110556829,0.0,0.0
federico ravaglia,G4,Bologna,P,1.0786032088445463,0.0,0.0
marco silvestri,G4,Udinese,P,1.0786032088445463,0.0,0.0
christos mandas,G4,Lazio,P,1.0786032088445463,0.0,0.0
etrit berisha,G4,Empoli,P,1.0786032088445463,0.0,0.0
boris radunovic,G4,Cagliari,P,0.5393016044222732,0.0,0.0
michele cerofolini,G4,Frosinone,P,0.5393016044222732,0.0,0.0
marco sportiello,G4,AC Milan,P,0.5393016044222732,0.0,0.0
emil audero,G4,Inter,P,0.5393016044222732,0.0,0.0
pierluigi gollini,G4,Napoli,P,0.2696508022111366,0.0,0.0
mattia perin,G4,Juventus,P,0.2696508022111366,0.0,0.0
benoit costil,G4,Salernitana,P,0.2696508022111366,0.0,0.0
lovro stubljar,G4,Empoli,P,0.0,0.0,0.0
luca gemello,G4,Torino,P,0.0,0.0,0.0
luigi sepe,G4,Salernitana,P,0.0,0.0,0.0
francesco rossi,G4,Atalanta,P,0.0,0.0,0.0
samuele perisan,G4,Empoli,P,0.0,0.0,0.0
pietro boer,G4,Roma,P,0.0,0.0,0.0
nicola bagnolini,G4,Bologna,P,0.0,0.0,0.0
michele avella,G4,Frosinone,P,0.0,0.0,0.0
nicola leali,G4,Genoa,P,0.0,0.0,0.0
federico brancolini,G4,Lecce,P,0.0,0.0,0.0
eugenio lamanna,G4,Monza,P,0.0,0.0,0.0
vincenzo fiorillo,G4,Salernitana,P,0.0,0.0,0.0
alessandro sorentino,G4,Monza,P,0.0,0.0,0.0
alessio cragno,G4,Sassuolo,P,0.0,0.0,0.0
alessio furlanetto,G4,Lazio,P,0.0,0.0,0.0
raffaele di gennaro,G4,Inter,P,0.0,0.0,0.0
daniel theiner,G4,Sassuolo,P,0.0,0.0,0.0
pierluigi frattali,G4,Frosinone,P,0.0,0.0,0.0
daniele sommariva,G4,Genoa,P,0.0,0.0,0.0
oliver christensen,G4,Fiorentina,P,0.0,0.0,0.0
noah raveyre,G4,AC Milan,P,0.0,0.0,0.0
daniele padelli,G4,Udinese,P,0.0,0.0,0.0
mattia chiesa,G4,Verona,P,0.0,0.0,0.0
carlo pinsoglio,G4,Juventus,P,0.0,0.0,0.0
mihai popa,G4,Torino,P,0.0,0.0,0.0
nikita contini,G4,Napoli,P,0.0,0.0,0.0
simone perilli,G4,Verona,P,0.0,0.0,0.0
marius adamonis,G4,Lazio,P,0.0,0.0,0.0
franz stolz,G4,Genoa,P,0.0,0.0,0.0
gianluca pegolo,G4,Sassuolo,P,0.0,0.0,0.0
giacomo toniolo,G4,Verona,P,0.0,0.0,0.0
simone aresti,G4,Cagliari,P,0.0,0.0,0.0
antonio mirante,G4,AC Milan,P,0.0,0.0,0.0
alexandru borbei,G4,Lecce,P,0.0,0.0,0.0
alessandro berardi,G4,Verona,P,0.0,0.0,0.0
tommaso vannucchi,G4,Fiorentina,P,0.0,0.0,0.0
tommaso martinelli,G4,Fiorentina,P,0.0,0.0,0.0
andrea bartoccioni,G4,AC Milan,P,0.0,0.0,0.0
stefano gori,G4,Monza,P,0.0,0.0,0.0
jasper samooja,G4,Lecce,P,0.0,0.0,0.0
lapo nava,G4,AC Milan,P,0.0,0.0,0.0
hubert idasiak,G4,Napoli,P,0.0,0.0,0.0
lorenzo torriani,G4,AC Milan,P,0.0,0.0,0.0
vanja milinkovic-savic,G5,Torino,P,10.0,0.0,0.0
yann sommer,G5,Inter,P,9.941126241517232,0.0,0.0
wojciech szczesny,G5,Juventus,P,8.7465731877219,0.0,0.0
michele di gregorio,G5,Monza,P,8.336254550357287,0.0,0.0
lukasz skorupski,G5,Bologna,P,8.150195496831603,0.0,0.0
mike maignan,G5,AC Milan,P,7.2239449912363485,0.0,0.0
ivan provedel,G5,Lazio,P,7.020808053570625,0.0,0.0
marco carnesecchi,G5,Atalanta,P,6.906655880634578,0.0,0.0
josep martinez,G5,Genoa,P,6.847332704148128,0.0,0.0
pietro terracciano,G5,Fiorentina,P,6.720596827108893,0.0,0.0
lorenzo montipo,G5,Verona,P,6.697227090917261,0.0,0.0
wladimiro falcone,G5,Lecce,P,6.397465282459216,0.0,0.0
elia caprile,G5,Empoli,P,6.204215540874567,0.0,0.0
rui patricio,G5,Roma,P,5.942654262729764,0.0,0.0
maduka okoye,G5,Udinese,P,5.898611298368613,0.0,0.0
alex meret,G5,Napoli,P,5.569637319671027,0.0,0.0
stefano turati,G5,Frosinone,P,5.078872859646755,0.0,0.0
andrea consigli,G5,Sassuolo,P,4.835737719653049,0.0,0.0
simone scuffet,G5,Cagliari,P,4.832591793627252,0.0,0.0
guillermo ochoa,G5,Salernitana,P,4.0919509235539975,0.0,0.0
juan musso,G5,Atalanta,P,1.6179048132668192,0.0,0.0
mile svilar,G5,Roma,P,1.3482540110556829,0.0,0.0
federico ravaglia,G5,Bologna,P,1.0786032088445463,0.0,0.0
marco silvestri,G5,Udinese,P,1.0786032088445463,0.0,0.0
christos mandas,G5,Lazio,P,1.0786032088445463,0.0,0.0
etrit berisha,G5,Empoli,P,1.0786032088445463,0.0,0.0
boris radunovic,G5,Cagliari,P,0.5393016044222732,0.0,0.0
michele cerofolini,G5,Frosinone,P,0.5393016044222732,0.0,0.0
marco sportiello,G5,AC Milan,P,0.5393016044222732,0.0,0.0
emil audero,G5,Inter,P,0.5393016044222732,0.0,0.0
pierluigi gollini,G5,Napoli,P,0.2696508022111366,0.0,0.0
mattia perin,G5,Juventus,P,0.2696508022111366,0.0,0.0
benoit costil,G5,Salernitana,P,0.2696508022111366,0.0,0.0
lovro stubljar,G5,Empoli,P,0.0,0.0,0.0
luca gemello,G5,Torino,P,0.0,0.0,0.0
luigi sepe,G5,Salernitana,P,0.0,0.0,0.0
francesco rossi,G5,Atalanta,P,0.0,0.0,0.0
samuele perisan,G5,Empoli,P,0.0,0.0,0.0
pietro boer,G5,Roma,P,0.0,0.0,0.0
nicola bagnolini,G5,Bologna,P,0.0,0.0,0.0
