Player,Team,Role,Score_norm,Prob_Gol,Pred_Gol_Pesata,Etichetta_Predetta,Etichetta_Tattica
vanja milinkovic-savic,Torino,P,1.0,0.0,0.0,consigliato,Portiere
yann sommer,Inter,P,0.9941126241517232,0.0,0.0,consigliato,Portiere
wojciech szczesny,Juventus,P,0.87465731877219,0.0,0.0,consigliato,Portiere
michele di gregorio,Monza,P,0.8336254550357287,0.0,0.0,consigliato,Portiere
lukasz skorupski,Bologna,P,0.8150195496831604,0.0,0.0,consigliato,Portiere
mike maignan,AC Milan,P,0.7223944991236348,0.0,0.0,consigliato,Portiere
ivan provedel,Lazio,P,0.7020808053570625,0.0,0.0,consigliato,Portiere
marco carnesecchi,Atalanta,P,0.6906655880634578,0.0,0.0,consigliato,Portiere
josep martinez,Genoa,P,0.6847332704148128,0.0,0.0,consigliato,Portiere
pietro terracciano,Fiorentina,P,0.6720596827108893,0.0,0.0,consigliato,Portiere
lorenzo montipo,Verona,P,0.6697227090917262,0.0,0.0,consigliato,Portiere
wladimiro falcone,Lecce,P,0.6397465282459216,0.0,0.0,consigliato,Portiere
elia caprile,Empoli,P,0.6204215540874567,0.0,0.0,consigliato,Portiere
rui patricio,Roma,P,0.5942654262729764,0.0,0.0,consigliato,Portiere
maduka okoye,Udinese,P,0.5898611298368613,0.0,0.0,consigliato,Portiere
alex meret,Napoli,P,0.5569637319671027,0.0,0.0,consigliato,Portiere
stefano turati,Frosinone,P,0.5078872859646755,0.0,0.0,consigliato,Portiere
andrea consigli,Sassuolo,P,0.4835737719653049,0.0,0.0,consigliato,Portiere
simone scuffet,Cagliari,P,0.4832591793627251,0.0,0.0,consigliato,Portiere
guillermo ochoa,Salernitana,P,0.4091950923553997,0.0,0.0,consigliato,Portiere
juan musso,Atalanta,P,0.1617904813266819,0.0,0.0,sorpresa,Portiere
mile svilar,Roma,P,0.1348254011055683,0.0,0.0,non consigliato,Portiere
federico ravaglia,Bologna,P,0.1078603208844546,0.0,0.0,consigliato,Portiere
marco silvestri,Udinese,P,0.1078603208844546,0.0,0.0,sorpresa,Portiere
christos mandas,Lazio,P,0.1078603208844546,0.0,0.0,sorpresa,Portiere
etrit berisha,Empoli,P,0.1078603208844546,0.0,0.0,non consigliato,Portiere
boris radunovic,Cagliari,P,0.0539301604422273,0.0,0.0,consigliato,Portiere
michele cerofolini,Frosinone,P,0.0539301604422273,0.0,0.0,consigliato,Portiere
marco sportiello,AC Milan,P,0.0539301604422273,0.0,0.0,sorpresa,Portiere
emil audero,Inter,P,0.0539301604422273,0.0,0.0,non consigliato,Portiere
pierluigi gollini,Napoli,P,0.0269650802211136,0.0,0.0,non consigliato,Portiere
mattia perin,Juventus,P,0.0269650802211136,0.0,0.0,non consigliato,Portiere
benoit costil,Salernitana,P,0.0269650802211136,0.0,0.0,consigliato,Portiere
lovro stubljar,Empoli,P,0.0,0.0,0.0,non consigliato,Portiere
luca gemello,Torino,P,0.0,0.0,0.0,non consigliato,Portiere
luigi sepe,Salernitana,P,0.0,0.0,0.0,non consigliato,Portiere
francesco rossi,Atalanta,P,0.0,0.0,0.0,non consigliato,Portiere
samuele perisan,Empoli,P,0.0,0.0,0.0,non consigliato,Portiere
pietro boer,Roma,P,0.0,0.0,0.0,non consigliato,Portiere
nicola bagnolini,Bologna,P,0.0,0.0,0.0,non consigliato,Portiere
michele avella,Frosinone,P,0.0,0.0,0.0,non consigliato,Portiere
nicola leali,Genoa,P,0.0,0.0,0.0,non consigliato,Portiere
federico brancolini,Lecce,P,0.0,0.0,0.0,non consigliato,Portiere
eugenio lamanna,Monza,P,0.0,0.0,0.0,non consigliato,Portiere
vincenzo fiorillo,Salernitana,P,0.0,0.0,0.0,non consigliato,Portiere
alessandro sorentino,Monza,P,0.0,0.0,0.0,non consigliato,Portiere
alessio cragno,Sassuolo,P,0.0,0.0,0.0,non consigliato,Portiere
alessio furlanetto,Lazio,P,0.0,0.0,0.0,non consigliato,Portiere
raffaele di gennaro,Inter,P,0.0,0.0,0.0,non consigliato,Portiere
daniel theiner,Sassuolo,P,0.0,0.0,0.0,non consigliato,Portiere
pierluigi frattali,Frosinone,P,0.0,0.0,0.0,non consigliato,Portiere
daniele sommariva,Genoa,P,0.0,0.0,0.0,non consigliato,Portiere
oliver christensen,Fiorentina,P,0.0,0.0,0.0,non consigliato,Portiere
noah raveyre,AC Milan,P,0.0,0.0,0.0,non consigliato,Portiere
daniele padelli,Udinese,P,0.0,0.0,0.0,non consigliato,Portiere
mattia chiesa,Verona,P,0.0,0.0,0.0,non consigliato,Portiere
carlo pinsoglio,Juventus,P,0.0,0.0,0.0,non consigliato,Portiere
mihai popa,Torino,P,0.0,0.0,0.0,non consigliato,Portiere
nikita contini,Napoli,P,0.0,0.0,0.0,non consigliato,Portiere
simone perilli,Verona,P,0.0,0.0,0.0,non consigliato,Portiere
marius adamonis,Lazio,P,0.0,0.0,0.0,non consigliato,Portiere
franz stolz,Genoa,P,0.0,0.0,0.0,non consigliato,Portiere
gianluca pegolo,Sassuolo,P,0.0,0.0,0.0,non consigliato,Portiere
giacomo toniolo,Verona,P,0.0,0.0,0.0,non consigliato,Portiere
simone aresti,Cagliari,P,0.0,0.0,0.0,non consigliato,Portiere
antonio mirante,AC Milan,P,0.0,0.0,0.0,non consigliato,Portiere
alexandru borbei,Lecce,P,0.0,0.0,0.0,non consigliato,Portiere
alessandro berardi,Verona,P,0.0,0.0,0.0,non consigliato,Portiere
tommaso vannucchi,Fiorentina,P,0.0,0.0,0.0,non consigliato,Portiere
tommaso martinelli,Fiorentina,P,0.0,0.0,0.0,non consigliato,Portiere
andrea bartoccioni,AC Milan,P,0.0,0.0,0.0,non consigliato,Portiere
stefano gori,Monza,P,0.0,0.0,0.0,non consigliato,Portiere
jasper samooja,Lecce,P,0.0,0.0,0.0,non consigliato,Portiere
lapo nava,AC Milan,P,0.0,0.0,0.0,non consigliato,Portiere
hubert idasiak,Napoli,P,0.0,0.0,0.0,non consigliato,Portiere
lorenzo torriani,AC Milan,P,0.0,0.0,0.0,non consigliato,Portiere
alessandro bastoni,Inter,D,1.0,0.0213,0.0611,consigliato,Terzino offensivo
riccardo calafiori,Bologna,D,0.986333894871479,0.0338,0.305,consigliato,Terzino offensivo
francesco acerbi,Inter,D,0.984008919094826,0.0749,0.0861,consigliato,Regista difensivo
jhon lucumi,Bologna,D,0.972241772662444,0.0,0.0,consigliato,Regista difensivo
amir rrahmani,Napoli,D,0.9582109297425968,0.0599,0.1003,consigliato,Terzino offensivo
giovanni di lorenzo,Napoli,D,0.9479550247988536,0.0213,0.0611,consigliato,Terzino offensivo
gleison bremer,Juventus,D,0.9422335055170185,0.0749,0.1088,consigliato,Leader difensivo
raoul bellanova,Torino,D,0.929246589541238,0.0213,0.0611,consigliato,Terzino offensivo
benjamin pavard,Inter,D,0.9161980795419008,0.0,0.0,consigliato,Leader difensivo
danilo,Juventus,D,0.9037308864594128,0.0213,0.0611,consigliato,Leader difensivo
federico dimarco,Inter,D,0.902296243447714,0.1433,0.1111,consigliato,Terzino offensivo
stefan de vrij,Inter,D,0.8925405224846112,0.0213,0.0611,consigliato,Leader difensivo
carlos augusto,Inter,D,0.8892410542266769,0.0,0.0,non consigliato,Terzino offensivo
andrea cambiaso,Juventus,D,0.8790382683221634,0.0463,0.0736,consigliato,Terzino offensivo
pablo mari,Monza,D,0.8778438869281295,0.0,0.0,non consigliato,Leader difensivo
theo hernandez,AC Milan,D,0.8617644532326232,0.1433,0.1111,consigliato,Terzino offensivo
