Giocatore,Giornata,Pred_Gol_Pesata
federico chiesa,G4,0.82
abdou harroui,G4,0.47
nicolas gonzalez,G4,0.47
christian pulisic,G4,0.47
dusan vlahovic,G4,0.47
andrea colpani,G4,0.3533
domenico berardi,G4,0.32
gianluca scamacca,G4,0.32
lautaro martinez,G4,0.3
hakan calhanoglu,G4,0.2886
danilo,G4,0.2886
ederson,G4,0.2886
giovanni fabbian,G4,0.2886
daichi kamada,G4,0.2886
luis alberto,G4,0.2886
zito luvumbo,G4,0.2886
andrea pinamonti,G4,0.2886
nemanja radonjicc,G4,0.2886
rafael leao,G4,0.2886
leonardo spinazzola,G4,0.2886
gabriel strefezza,G4,0.2886
marcus thuram,G4,0.2886
piotr zielinski,G4,0.2886
joshua zirkzee,G4,0.2886
olivier giroud,G4,0.24
nikola krstovic,G4,0.2367
cyril ngonge,G4,0.2367
victor osimhen,G4,0.18
pontus almqvist,G4,0.1767
cristiano biraghi,G4,0.1767
davide biraschi,G4,0.1767
giacomo bonaventura,G4,0.1767
federico bonazzoli,G4,0.1767
charles de ketelaere,G4,0.1767
federico di francesco,G4,0.1767
ciro immobile,G4,0.1767
rolando mandragora,G4,0.1767
matteo politano,G4,0.1767
adrien rabiot,G4,0.1767
nadir zortea,G4,0.1767
andrea belotti,G4,0.12
antonio candreva,G4,0.12
houssem aouar,G4,0.1119
giovanni di lorenzo,G4,0.1119
boulaye dia,G4,0.1119
ondrej duda,G4,0.1119
denzel dumfries,G4,0.1119
alfred duncan,G4,0.1119
lewis ferguson,G4,0.1119
theo hernandez,G4,0.1119
ilario monterisi,G4,0.1119
hamza rafia,G4,0.1119
mateo retegui,G4,0.1119
lazar samardzic,G4,0.1119
perr schuurs,G4,0.1119
duvan zapata,G4,0.1119
federico gatti,G4,0.0556
alessandro bastoni,G4,0.0556
andrea carboni,G4,0.0556
tammy abraham,G4,0.0556
francesco acerbi,G4,0.0556
yacine adli,G4,0.0556
alex sandro,G4,0.0556
amir rrahmani,G4,0.0556
marko arnautovic,G4,0.0556
arthur,G4,0.0556
kristjan asllani,G4,0.0556
tommaso augello,G4,0.0556
sardar azmoun,G4,0.0556
milan badelj,G4,0.0556
jaime baez,G4,0.0556
nedim bajrami,G4,0.0556
mitchel bakker,G4,0.0556
tommaso baldanzi,G4,0.0556
lameck banda,G4,0.0556
