Giocatore,Giornata,Prob_Gol
federico gatti,G4,0.0
alessandro bastoni,G4,0.0
andrea carboni,G4,0.0
tammy abraham,G4,0.0
francesco acerbi,G4,0.0
yacine adli,G4,0.0
alex sandro,G4,0.0
pontus almqvist,G4,0.1109
amir rrahmani,G4,0.0
houssem aouar,G4,0.1664
marko arnautovic,G4,0.0
arthur,G4,0.0
kristjan asllani,G4,0.0
tommaso augello,G4,0.0
sardar azmoun,G4,0.0
milan badelj,G4,0.0
jaime baez,G4,0.0
nedim bajrami,G4,0.0
mitchel bakker,G4,0.0
tommaso baldanzi,G4,0.0
lameck banda,G4,0.0
mattia bani,G4,0.0
antonin barak,G4,0.0
nicolo barella,G4,0.0
raoul bellanova,G4,0.0
andrea belotti,G4,0.1758
lucas beltran,G4,0.0
ismael bennacer,G4,0.0
domenico berardi,G4,0.1758
sam beukema,G4,0.0
cristiano biraghi,G4,0.1109
davide biraschi,G4,0.1109
yann aurel bisseck,G4,0.0
giacomo bonaventura,G4,0.1109
federico bonazzoli,G4,0.1109
warren bondo,G4,0.0
josip brekalo,G4,0.0
gleison bremer,G4,0.0
marco brescianini,G4,0.0
tajon buchanan,G4,0.0
alessandro buongiorno,G4,0.0
jovane cabral,G4,0.0
riccardo calafiori,G4,0.0
luca caldirola,G4,0.0
hakan calhanoglu,G4,0.1109
nicolo cambiaghi,G4,0.0
andrea cambiaso,G4,0.0
matteo cancellieri,G4,0.0
antonio candreva,G4,0.1758
francesco caputo,G4,0.0
valentin castellanos,G4,0.0
santiago castro,G4,0.0
gaetano castrovilli,G4,0.0
danilo cataldi,G4,0.0
leonardo cerri,G4,0.0
walid cheddira,G4,0.0
federico chiesa,G4,0.1758
samuel chukwueze,G4,0.0
lorenzo colombo,G4,0.0
andrea colpani,G4,0.2637
diego coppola,G4,0.0
bryan cristante,G4,0.0
marvin cuni,G4,0.0
danilo,G4,0.1109
dany mota,G4,0.0
matteo darmian,G4,0.0
keinan davis,G4,0.0
charles de ketelaere,G4,0.1109
lorenzo de silvestri,G4,0.0
stefan de vrij,G4,0.0
gregoire defrel,G4,0.0
alessandro deiola,G4,0.0
federico di francesco,G4,0.1109
giovanni di lorenzo,G4,0.1664
boulaye dia,G4,0.1664
federico dimarco,G4,0.0
milan djuric,G4,0.0
patrick dorgu,G4,0.0
alberto dossena,G4,0.0
radu dragusin,G4,0.0
ondrej duda,G4,0.1664
denzel dumfries,G4,0.1664
alfred duncan,G4,0.1664
paulo dybala,G4,0.0
ederson,G4,0.1109
caleb ekuban,G4,0.0
oussama el azzouzi,G4,0.0
stephan el shaarawy,G4,0.0
eljif elmas,G4,0.0
martin erlic,G4,0.0
giovanni fabbian,G4,0.1109
federico fazio,G4,0.0
jacopo fazzini,G4,0.0
felipe anderson,G4,0.0
lewis ferguson,G4,0.1664
gian marco ferrari,G4,0.0
alessandro florenzi,G4,0.0
michael folorunsho,G4,0.0
davide frattesi,G4,0.0
morten frendrup,G4,0.0
remo freuler,G4,0.0
matteo gabbia,G4,0.0
gianluca gaetano,G4,0.0
roberto gagliardini,G4,0.0
valentin gendrey,G4,0.0
lautaro gianetti,G4,0.0
olivier giroud,G4,0.3863
albert gudmundsson,G4,0.0
matteo guendouzi,G4,0.0
emmanuel quartsin gyasi,G4,0.0
abdou harroui,G4,0.1758
thomas henry,G4,0.0
theo hernandez,G4,0.1664
emil holm,G4,0.0
dean huijsen,G4,0.0
jonathan ikone,G4,0.0
chukwubuikem ikwuemesi,G4,0.0
ivan ilic,G4,0.0
samuel iling-junior,G4,0.0
ciro immobile,G4,0.1109
gustav isaksen,G4,0.0
jakub jankto,G4,0.0
luka jovic,G4,0.0
juan jesus,G4,0.0
christian kabasele,G4,0.0
kaio jorge,G4,0.0
daichi kamada,G4,0.1109
hassane kamara,G4,0.0
grigoris kastanos,G4,0.0
michael kayode,G4,0.0
kingstone mutandwa,G4,0.0
sead kolasinac,G4,0.0
teun koopmeiners,G4,0.0
christian kouame,G4,0.0
viktor kovalenko,G4,0.0
nikola krstovic,G4,0.2637
khvicha kvaratskhelia,G4,0.0
luca ranieri,G4,0.0
gianluca lapadula,G4,0.0
armand lauriente,G4,0.0
lautaro martinez,G4,0.43
darko lazovic,G4,0.0
pol lirola,G4,0.0
diego llorente,G4,0.0
manuel locatelli,G4,0.0
ruben loftus-cheek,G4,0.0
ademola lookman,G4,0.0
lorenzo pellegrini,G4,0.0
sandi lovric,G4,0.0
luca pellegrini,G4,0.0
lorenzo lucca,G4,0.0
luis alberto,G4,0.1109
romelu lukaku,G4,0.0
sebastiano luperto,G4,0.0
zito luvumbo,G4,0.1109
charalambos lykogiannis,G4,0.0
giulio maggiore,G4,0.0
daniel maldini,G4,0.0
ruslan malinovsky,G4,0.0
gianluca mancini,G4,0.0
rolando mandragora,G4,0.1109
mirko maric,G4,0.0
agustin martegani,G4,0.0
lucas martinez quarta,G4,0.0
adam marusic,G4,0.0
matheus henrique,G4,0.0
mathias olivera,G4,0.0
luca mazzitelli,G4,0.0
junior messias,G4,0.0
arkadiusz milik,G4,0.0
yerry mina,G4,0.0
aleksey miranchuk,G4,0.0
fabio miretti,G4,0.0
henrikh mkhitaryan,G4,0.0
ilario monterisi,G4,0.1664
nikola moro,G4,0.0
luis muriel,G4,0.0
nahitan nandez,G4,0.0
dan ndoye,G4,0.0
cyril ngonge,G4,0.2637
m'baye niang,G4,0.0
nicolas gonzalez,G4,0.1758
tijjani noslin,G4,0.0
m'bala nzola,G4,0.0
jens odgaard,G4,0.0
noah okafor,G4,0.0
gaetano oristanio,G4,0.0
riccardo orsolini,G4,0.0
victor osimhen,G4,0.2218
remi oudin,G4,0.0
leandro paredes,G4,0.0
mario pasalic,G4,0.0
patric,G4,0.0
leonardo pavoletti,G4,0.0
martin payero,G4,0.0
pedro rodriguez,G4,0.0
pietro pellegri,G4,0.0
roberto pereyra,G4,0.0
nehuen perez,G4,0.0
matteo pessina,G4,0.0
andrea petagna,G4,0.0
roberto piccoli,G4,0.0
niccolo pierozzi,G4,0.0
andrea pinamonti,G4,0.1109
matteo politano,G4,0.1109
stefan posch,G4,0.0
