Player,Team,Score_A_normalizzato
Lautaro Martinez,Inter,10.0
Albert Gudmundsson,Genoa,9.217349622639194
Matias Soule,Frosinone,8.382918373067875
Paulo Dybala,Roma,8.194920748790997
Khvicha Kvaratskhelia,Napoli,8.164231058664397
Olivier Giroud,AC Milan,7.9886033517632
Dusan Vlahovic,Juventus,7.7446791512796205
Rafael Leao,AC Milan,7.737022862058283
Marcus Thuram,Inter,7.660261160360614
Christian Pulisic,AC Milan,7.638988296978675
Victor Osimhen,Napoli,7.341955970620807
Charles De Ketelaere,Atalanta,7.33663529112349
Ademola Lookman,Atalanta,7.261281116084548
Matteo Politano,Napoli,7.204012116395615
Duvan Zapata,Torino,7.111918227469753
Joshua Zirkzee,Bologna,7.013123983893323
Romelu Lukaku,Roma,6.910330888800196
Gianluca Scamacca,Atalanta,6.885200374732376
Nicolas Gonzalez,Fiorentina,6.741926252539724
Federico Chiesa,Juventus,6.523830598716707
Riccardo Orsolini,Bologna,6.3329608296788615
Armand Lauriente,Sassuolo,5.762828461167271
Andrea Pinamonti,Sassuolo,5.71271982919851
Nikola Krstovic,Lecce,5.46031290576126
Milan Djuric,Verona,5.402852581068134
Lorenzo Lucca,Udinese,5.372352538779441
Giacomo Raspadori,Napoli,5.369526895211365
Walid Cheddira,Frosinone,5.348300417528841
Alexis Saelemaekers,Bologna,5.237712933132613
Aleksey Miranchuk,Atalanta,5.217060623788722
Florian Thauvin,Udinese,5.151711554124309
Ciro Immobile,Lazio,5.087514727829896
Cyril Ngonge,Napoli,4.990652635055614
Lucas Beltran,Fiorentina,4.86950125264437
Nikola Vlasic,Torino,4.802855811270323
Dany Mota,Monza,4.6930126924409725
Antonio Sanabria,Torino,4.675122241620843
Luka Jovic,AC Milan,4.657185663706282
Andrea Belotti,Fiorentina,4.51878010669156
Mateo Retegui,Genoa,4.505252030670766
M'Bala Nzola,Fiorentina,4.477414283987825
Noah Okafor,AC Milan,4.464912088908567
Marko Arnautovic,Inter,4.3597408975525545
Alexis Sanchez,Inter,4.293440294623524
Zito Luvumbo,Cagliari,4.218342271585198
Stephan El Shaarawy,Roma,4.18244125420769
Lameck Banda,Lecce,4.155316875643998
Arkadiusz Milik,Juventus,4.105186360170173
Pontus Almqvist,Lecce,4.09262020178492
Valentin Castellanos,Lazio,4.056707085209281
Nicolo Cambiaghi,Empoli,3.9739085841371837
Federico Bonazzoli,Verona,3.962712806190207
Darko Lazovic,Verona,3.9280574187098805
Caleb Ekuban,Genoa,3.913512269381301
Riccardo Sottil,Fiorentina,3.9103419279689744
Dan Ndoye,Bologna,3.901715493456509
Gianluca Lapadula,Cagliari,3.893838847683358
Roberto Piccoli,Lecce,3.735319321575109
Matteo Cancellieri,Empoli,3.72727840389174
Kenan Yildiz,Juventus,3.7181437804612067
Francesco Caputo,Empoli,3.6971940427487247
Lorenzo Colombo,Monza,3.6499508544079626
Pedro Rodriguez,Lazio,3.585789306352385
Samuel Chukwueze,AC Milan,3.5515054915485975
Tommaso Baldanzi,Roma,3.5399345405411586
Gustav Isaksen,Lazio,3.478766847296071
Nicola Sansone,Lecce,3.4658716956700757
Cristian Volpato,Sassuolo,3.365828199215989
Patrick Ciurria,Monza,3.3237950325475913
Samuel Iling-Junior,Juventus,3.305908169557745
