Player,Team,Score_C_normalizzato
Hakan Calhanoglu,Inter,10.0
Teun Koopmeiners,Atalanta,8.678701709568648
Luis Alberto,Lazio,8.240300382518294
Antonio Candreva,Salernitana,7.790139201923737
Matteo Pessina,Monza,7.662182403895132
Andrea Colpani,Monza,7.61769439252209
Arthur,Fiorentina,7.412418368645463
Lazar Samardzic,Udinese,7.407761092758207
Tijjani Reijnders,AC Milan,7.374313759986805
Mario Pasalic,Atalanta,7.367436611029462
Giacomo Bonaventura,Fiorentina,7.352489920977727
Nicolo Barella,Inter,7.30139511463939
Ivan Ilic,Torino,7.26598725773892
Henrikh Mkhitaryan,Inter,7.13269955127861
Piotr Zielinski,Napoli,7.109329410033326
Felipe Anderson,Lazio,7.096368092898793
Lewis Ferguson,Bologna,7.006488504037295
Lorenzo Pellegrini,Roma,6.794004829979079
Adrien Rabiot,Juventus,6.522715758283561
Leandro Paredes,Roma,6.499368223675822
Andre-Frank Zambo Anguissa,Napoli,6.45236427250458
Yacine Adli,AC Milan,6.420345786191055
Bryan Cristante,Roma,6.310263186350888
Ondrej Duda,Verona,6.210522907200916
Alfred Duncan,Fiorentina,6.12211604101011
Remi Oudin,Lecce,6.116096360374965
Weston Mckennie,Juventus,6.097838219611646
Stanislav Lobotka,Napoli,6.096000622931142
Mattia Zaccagni,Lazio,6.070135070936132
Ederson,Atalanta,6.047737755632112
Manuel Locatelli,Juventus,5.9679070331466875
Kristian Thorstvedt,Sassuolo,5.8880135304448915
Ruben Loftus-Cheek,AC Milan,5.879509444111052
Matheus Henrique,Sassuolo,5.833697267971192
Daichi Kamada,Lazio,5.799796794509621
Remo Freuler,Bologna,5.781805983920597
Sandi Lovric,Udinese,5.777792164110744
Roberto Gagliardini,Monza,5.703664855606901
Ismael Bennacer,AC Milan,5.675288074386936
Filip Kostic,Juventus,5.556861424282179
Matteo Guendouzi,Lazio,5.549007973021652
Nicolas Viola,Cagliari,5.512699491542781
Marco Brescianini,Frosinone,5.463870326944722
Samuele Ricci,Torino,5.446372192948832
Roberto Pereyra,Udinese,5.441680791118274
Kristjan Asllani,Inter,5.402988430453615
Marten De Roon,Atalanta,5.402941797835493
Nahitan Nandez,Cagliari,5.381050385756043
Razvan Marin,Empoli,5.358576940183092
Valentin Carboni,Monza,5.343029826889025
Davide Frattesi,Inter,5.335925583046782
Michel Aebischer,Bologna,5.320367732114135
Tomas Suslov,Verona,5.303053228194105
Matias Vecino,Lazio,5.286469109969563
Enzo Barrenechea,Frosinone,5.240230513814849
Maxime Lopez,Fiorentina,5.20438778255191
Grigoris Kastanos,Salernitana,5.199983499417313
Milan Badelj,Genoa,5.1657313580071715
Rolando Mandragora,Fiorentina,5.139622049274291
Luca Mazzitelli,Frosinone,5.103031036251568
Walace,Udinese,5.0770387718932435
Davide Zappacosta,Atalanta,4.999450385124126
Giulio Maggiore,Salernitana,4.967073278138196
Loum Tchaouna,Salernitana,4.941976783793706
Daniel Boloca,Sassuolo,4.913681275389887
Antoine Makoumbou,Cagliari,4.907186937647034
Gianluca Gaetano,Cagliari,4.906114284579282
Antonin Barak,Fiorentina,4.893110304873073
Nedim Bajrami,Sassuolo,4.888083197560489
Jonathan Ikone,Fiorentina,4.8642635154080835
Giovanni Fabbian,Bologna,4.861222912373084
Morten Frendrup,Genoa,4.843752013307233
Nicolo Rovella,Lazio,4.828671143913633
Francesco Gelli,Frosinone,4.827520982374294
Edoardo Bove,Roma,4.7951769933924115
Yunus Musah,AC Milan,4.67621181574357
Ruslan Malinovsky,Genoa,4.67047454323114
Adrien Tameze,Torino,4.664350715729848
Danilo Cataldi,Lazio,4.618573076937065
Youssef Maleh,Empoli,4.60950224076004
Reinier,Frosinone,4.603497514652185
Nikola Moro,Bologna,4.525944488037703
Manuel Lazzari,Lazio,4.500337894150118
Kevin Strootman,Genoa,4.444744840054523
Fabio Miretti,Juventus,4.432896102724298
Michael Folorunsho,Verona,4.430749068692927
Kacper Urbanski,Bologna,4.425946937535791
Matteo Prati,Cagliari,4.322342363278718
Lassana Coulibaly,Salernitana,4.2841864731392585
Joan Gonzalez,Lecce,4.267975395289502
Jacopo Fazzini,Empoli,4.195318731867274
Mohamed Kaba,Lecce,4.154481106207489
Jens-Lys Cajuste,Napoli,4.151743522624434
Suat Serdar,Verona,4.146367750610848
Alexis Blin,Lecce,4.14332321866978
Gabriel Strefezza,Lecce,4.139890959239084
Warren Bondo,Monza,4.139024789727004
Martin Payero,Udinese,4.123479815732578
Ylber Ramadani,Lecce,4.112758962427168
Timothy Weah,Juventus,4.099402286262943
Morten Thorsby,Genoa,4.077748274733006
Alberto Grassi,Empoli,4.0675161074040975
Hamza Rafia,Lecce,3.9368982674651476
Ibrahim Sulemana,Cagliari,3.9219479982005527
Gaetano Oristanio,Cagliari,3.897394104297538
Nicola Zalewski,Roma,3.8739786880665963
Karol Linetty,Torino,3.8543136286667203
Uros Racic,Sassuolo,3.852327782635176
Jesper Lindstrm,Napoli,3.7770607622479306
Jean-Daniel Akpa-Akpro,Monza,3.44364215039701
Alessandro Deiola,Cagliari,3.409035605203178
Mateusz Legowski,Salernitana,3.293745703196102
Abdou Harroui,Frosinone,1.1034639194197575
Houssem Aouar,Roma,0.6458134210476904
Nicolo Fagioli,Juventus,0.607542996096716
Juan Cuadrado,Inter,0.5628941669872463
Junior Sambia,Salernitana,0.5597049649079984
Jakub Jankto,Cagliari,0.5007047264419131
Arijon Ibrahimovic,Frosinone,0.49592092332304133
Gaetano Castrovilli,Fiorentina,0.49432632228341733
Viktor Kovalenko,Empoli,0.4911371202041695
Simone Bastoni,Empoli,0.4735965087683064
Toma Basic,Salernitana,0.46881270564943445
Hans Nicolussi Caviglia,Juventus,0.4241638765399646
Oussama El Azzouzi,Bologna,0.41778547238146896
Szymon Zurkowski,Empoli,0.36835284015312714
Martin Hongla,Verona,0.35240682975688786
Eljif Elmas,Napoli,0.34921762767764
Agustin Martegani,Salernitana,0.32689321312290504
Hamed Traore,Napoli,0.32051480896440937
Gvidas Gineitis,Torino,0.2981903944096743
Oier Zarraga,Udinese,0.28064978297381116
Alberto Cerri,Empoli,0.2726767777756915
Emil Bohinen,Salernitana,0.26151457049832405
Emanuel Vignato,Salernitana,0.2567307673794522
Samuel Vignato,Monza,0.24237935802283686
Carlos Alcaraz,Juventus,0.240784756983213
Berkan Kutlu,Genoa,0.23919015594358903
Medon Berisha,Lecce,0.23440635282471722
Stefano Sensi,Inter,0.22962254970584542
Pedro Obiang,Sassuolo,0.20251433203223873
Tajon Buchanan,Inter,0.19773052891336695
Michel Ndary Adopo,Atalanta,0.19135212475487123
Iron Gomis,Salernitana,0.17381151331900804
Luca Garritano,Frosinone,0.1722169122793841
Marco Mancosu,Cagliari,0.1690277102001363
Riccardo Saponara,Verona,0.1658385081208884
Luca Lipani,Sassuolo,0.1610547050020166
Filippo Ranocchia,Empoli,0.14510869460577733
Rade Krunic,AC Milan,0.1387302904472816
Renato Sanches,Roma,0.13713568940765772
Davy Klaassen,Inter,0.13394648732840986
Charlys,Verona,0.11959507797179451
Daniel Silva,Verona,0.10683826965480311
Tommaso Pobega,AC Milan,0.10205446653593134
Alejandro Gomez,Monza,0.10205446653593131
Paul Pogba,Juventus,0.09248686029818776
Nicolas Dominguez,Bologna,0.09248686029818776
Riccardo Pagano,Roma,0.09248686029818776
Simone Verdi,Torino,0.08770305717931598
Ebenezer Akinsanmiro,Inter,0.08770305717931598
Jose Machin,Monza,0.07016244574345279
Elayis Tavsan,Verona,0.060594839505709215
Lorenzo Amatucci,Fiorentina,0.060594839505709215
Kevin Leone,Sassuolo,0.05581103638683744
Joselito,Verona,0.05581103638683744
Niccolo Pisilli,Roma,0.05581103638683744
Francesco D'Alessio,Roma,0.05581103638683744
Iwo Kaczmarski,Empoli,0.05581103638683744
Lucien Agoume,Inter,0.05581103638683744
Karlo Lulic,Frosinone,0.05581103638683744
Karim Zedadka,Napoli,0.05581103638683744
Liam Henderson,Empoli,0.05581103638683744
Antonio Pio Iervolino,Salernitana,0.05581103638683744
Kevin Zeroli,AC Milan,0.05581103638683744
Antonino Viola,Lecce,0.05581103638683744
Andre Anderson,Lazio,0.05581103638683744
Lorenzo Ignacchiti,Empoli,0.05581103638683744
Justin Kumi,Sassuolo,0.05581103638683744
Reda Belahyane,Verona,0.05581103638683744
Leander Dendoncker,Napoli,0.05581103638683744
Luca Belardinelli,Empoli,0.05581103638683744
Orir Johann Helgason,Lecce,0.05581103638683744
Niklas Pyyhtia,Bologna,0.05581103638683744
Franco Carboni,Monza,0.05581103638683744
David Pejicic,Udinese,0.05581103638683744
Quina,Udinese,0.05581103638683744
Christos Papadopoulos,Genoa,0.05581103638683744
Christos Kourfalidis,Cagliari,0.05581103638683744
Daniel Samek,Lecce,0.05581103638683744
Marcin Listkowski,Lecce,0.05581103638683744
Marco Ballarini,Udinese,0.05581103638683744
Gino Infantino,Fiorentina,0.05581103638683744
Catalin Vulturar,Lecce,0.05581103638683744
Giacomo Faticanti,Lecce,0.05581103638683744
Mamadou Coulibaly,Salernitana,0.05581103638683744
Marko Rog,Cagliari,0.05581103638683744
Giovanni Crociata,Empoli,0.05581103638683744
Alessandro Sodero,Empoli,0.05581103638683744
Pablo Galdames,Genoa,0.05581103638683744
Filip Jagiello,Genoa,0.05581103638683744
Nicola Patane,Verona,0.05581103638683744
Mattia Mannini,Roma,0.05581103638683744
Mattia Valoti,Monza,0.05581103638683744
Etienne Camara,Udinese,0.05581103638683744
Domingos Quina,Udinese,0.05581103638683744
Victor Eletu,AC Milan,0.05581103638683744
Nunzio Lella,Cagliari,0.05581103638683744
Nikola Sekulov,Juventus,0.05581103638683744
Luka Romero,AC Milan,0.033486621832102464
Nicolas Haas,Empoli,0.028702818713230688
Diego Demme,Napoli,0.023919015594358908
Mehdi Bourabia,Frosinone,0.012756808316991419
Joseph Boende,Juventus,0.0
