Player,Team,Score_D_normalizzato
Alessandro Bastoni,Inter,10.0
Riccardo Calafiori,Bologna,9.86333894871479
Francesco Acerbi,Inter,9.84008919094826
Jhon Lucumi,Bologna,9.722417726624439
Amir Rrahmani,Napoli,9.582109297425967
Giovanni Di Lorenzo,Napoli,9.479550247988536
Gleison Bremer,Juventus,9.422335055170185
Raoul Bellanova,Torino,9.29246589541238
Benjamin Pavard,Inter,9.161980795419007
Danilo,Juventus,9.037308864594127
Federico Dimarco,Inter,9.02296243447714
Stefan De Vrij,Inter,8.925405224846113
Carlos Augusto,Inter,8.892410542266768
Andrea Cambiaso,Juventus,8.790382683221633
Pablo Mari,Monza,8.778438869281295
Theo Hernandez,AC Milan,8.617644532326231
Sam Beukema,Bologna,8.608735646061627
Alessio Romagnoli,Lazio,8.571252914841601
Diego Llorente,Roma,8.54083732812151
Berat Djimsiti,Atalanta,8.511483157677478
Gianluca Mancini,Roma,8.507971483578835
Fikayo Tomori,AC Milan,8.49199394259696
Ricardo Rodriguez,Torino,8.475810136385581
Stefan Posch,Bologna,8.350961345151035
Marin Pongracic,Lecce,8.323678824851514
Armando Izzo,Monza,8.306744275643984
Adam Marusic,Lazio,8.253466333630493
Patric,Lazio,8.192105518088058
Victor Kristiansen,Bologna,8.183824831470309
Nicolo Casale,Lazio,8.158382669627143
Lucas Martinez Quarta,Fiorentina,8.154400264593122
Sebastiano Luperto,Empoli,8.13698629118237
Federico Gatti,Juventus,8.095254772896249
Mario Gila,Lazio,8.083206081342139
Alessandro Buongiorno,Torino,8.048149317558359
Luca Caldirola,Monza,8.040071088899527
Evan N'Dicka,Roma,7.998016955194764
Giorgio Scalvini,Atalanta,7.94651731312706
Matteo Darmian,Inter,7.926289056061991
Juan Jesus,Napoli,7.896534639952048
Alessandro Florenzi,AC Milan,7.843373746127305
Malick Thiaw,AC Milan,7.783791103621634
Luca Ranieri,Fiorentina,7.760450326706265
Alberto Dossena,Cagliari,7.719904341717335
Nehuen Perez,Udinese,7.698919529223019
Federico Baschirotto,Lecce,7.677065440708275
Nikola Milenkovic,Fiorentina,7.646326908606096
