Player,Team,Score,Role
vanja milinkovic-savic,Torino,10.0,P
yann sommer,Inter,9.941126241517232,P
wojciech szczesny,Juventus,8.7465731877219,P
michele di gregorio,Monza,8.336254550357287,P
lukasz skorupski,Bologna,8.150195496831603,P
mike maignan,AC Milan,7.2239449912363485,P
ivan provedel,Lazio,7.020808053570625,P
marco carnesecchi,Atalanta,6.906655880634578,P
josep martinez,Genoa,6.847332704148128,P
pietro terracciano,Fiorentina,6.720596827108893,P
lorenzo montipo,Verona,6.697227090917261,P
wladimiro falcone,Lecce,6.397465282459216,P
elia caprile,Empoli,6.204215540874567,P
rui patricio,Roma,5.942654262729764,P
maduka okoye,Udinese,5.898611298368613,P
alex meret,Napoli,5.569637319671027,P
stefano turati,Frosinone,5.078872859646755,P
andrea consigli,Sassuolo,4.835737719653049,P
simone scuffet,Cagliari,4.832591793627252,P
guillermo ochoa,Salernitana,4.0919509235539975,P
juan musso,Atalanta,1.6179048132668192,P
mile svilar,Roma,1.3482540110556829,P
federico ravaglia,Bologna,1.0786032088445463,P
marco silvestri,Udinese,1.0786032088445463,P
christos mandas,Lazio,1.0786032088445463,P
etrit berisha,Empoli,1.0786032088445463,P
boris radunovic,Cagliari,0.5393016044222732,P
michele cerofolini,Frosinone,0.5393016044222732,P
marco sportiello,AC Milan,0.5393016044222732,P
emil audero,Inter,0.5393016044222732,P
pierluigi gollini,Napoli,0.2696508022111366,P
mattia perin,Juventus,0.2696508022111366,P
benoit costil,Salernitana,0.2696508022111366,P
lovro stubljar,Empoli,0.0,P
luca gemello,Torino,0.0,P
luigi sepe,Salernitana,0.0,P
francesco rossi,Atalanta,0.0,P
samuele perisan,Empoli,0.0,P
pietro boer,Roma,0.0,P
nicola bagnolini,Bologna,0.0,P
michele avella,Frosinone,0.0,P
nicola leali,Genoa,0.0,P
federico brancolini,Lecce,0.0,P
eugenio lamanna,Monza,0.0,P
vincenzo fiorillo,Salernitana,0.0,P
alessandro sorentino,Monza,0.0,P
alessio cragno,Sassuolo,0.0,P
alessio furlanetto,Lazio,0.0,P
raffaele di gennaro,Inter,0.0,P
