Player,Team,Score_P_normalizzato
Vanja Milinkovic-Savic,Torino,10.0
Yann Sommer,Inter,9.941126241517233
Wojciech Szczesny,Juventus,8.7465731877219
Michele Di Gregorio,Monza,8.336254550357287
Lukasz Skorupski,Bologna,8.150195496831603
Mike Maignan,AC Milan,7.2239449912363485
Ivan Provedel,Lazio,7.020808053570625
Marco Carnesecchi,Atalanta,6.906655880634578
Josep Martinez,Genoa,6.847332704148128
Pietro Terracciano,Fiorentina,6.720596827108893
Lorenzo Montipo,Verona,6.697227090917261
Wladimiro Falcone,Lecce,6.3974652824592155
Elia Caprile,Empoli,6.204215540874567
Rui Patricio,Roma,5.942654262729764
Maduka Okoye,Udinese,5.898611298368613
Alex Meret,Napoli,5.569637319671027
Stefano Turati,Frosinone,5.078872859646755
Andrea Consigli,Sassuolo,4.835737719653049
Simone Scuffet,Cagliari,4.832591793627252
Guillermo Ochoa,Salernitana,4.0919509235539975
Juan Musso,Atalanta,1.6179048132668192
Mile Svilar,Roma,1.3482540110556829
Federico Ravaglia,Bologna,1.0786032088445463
Marco Silvestri,Udinese,1.0786032088445463
Christos Mandas,Lazio,1.0786032088445463
Etrit Berisha,Empoli,1.0786032088445463
Boris Radunovic,Cagliari,0.5393016044222732
Michele Cerofolini,Frosinone,0.5393016044222732
Marco Sportiello,AC Milan,0.5393016044222732
Emil Audero,Inter,0.5393016044222732
Pierluigi Gollini,Napoli,0.2696508022111366
Mattia Perin,Juventus,0.2696508022111366
Benoit Costil,Salernitana,0.2696508022111366
Lovro Stubljar,Empoli,0.0
Luca Gemello,Torino,0.0
Luigi Sepe,Salernitana,0.0
Francesco Rossi,Atalanta,0.0
Samuele Perisan,Empoli,0.0
Pietro Boer,Roma,0.0
Nicola Bagnolini,Bologna,0.0
Michele Avella,Frosinone,0.0
Nicola Leali,Genoa,0.0
Federico Brancolini,Lecce,0.0
Eugenio Lamanna,Monza,0.0
Vincenzo Fiorillo,Salernitana,0.0
Alessandro Sorentino,Monza,0.0
Alessio Cragno,Sassuolo,0.0
Alessio Furlanetto,Lazio,0.0
Raffaele Di Gennaro,Inter,0.0
Daniel Theiner,Sassuolo,0.0
Pierluigi Frattali,Frosinone,0.0
Daniele Sommariva,Genoa,0.0
Oliver Christensen,Fiorentina,0.0
Noah Raveyre,AC Milan,0.0
Daniele Padelli,Udinese,0.0
Mattia Chiesa,Verona,0.0
Carlo Pinsoglio,Juventus,0.0
Mihai Popa,Torino,0.0
Nikita Contini,Napoli,0.0
Simone Perilli,Verona,0.0
Marius Adamonis,Lazio,0.0
Franz Stolz,Genoa,0.0
Gianluca Pegolo,Sassuolo,0.0
Giacomo Toniolo,Verona,0.0
Simone Aresti,Cagliari,0.0
Antonio Mirante,AC Milan,0.0
Alexandru Borbei,Lecce,0.0
Alessandro Berardi,Verona,0.0
Tommaso Vannucchi,Fiorentina,0.0
Tommaso Martinelli,Fiorentina,0.0
Andrea Bartoccioni,AC Milan,0.0
Stefano Gori,Monza,0.0
Jasper Samooja,Lecce,0.0
Lapo Nava,AC Milan,0.0
Hubert Idasiak,Napoli,0.0
Lorenzo Torriani,AC Milan,0.0
